year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Top Ryde 132_11kV,01MAY2020,MW,20.06822,20.08724,18.79375,18.86983,18.98397,18.33722,17.36710,16.58719,15.90240,15.65512,15.06543,15.06543,14.45673,14.01922,14.20944,14.20944,14.20944,14.20944,14.20944,14.20944,14.81815,14.57086,14.98934,15.42685,16.87252,17.76656,18.60353,19.21223,20.04920,21.20954,21.91336,22.54108,22.27477,22.94055,22.94055,22.94055,22.94055,22.94055,22.88348,22.25575,22.21771,21.57096,21.57096,21.72314,22.17966,21.58998,21.24759,21.39976,21.57096,21.57096,21.64705,22.48402,21.78020,21.26661,21.87531,21.09541,21.45683,21.32367,21.01932,21.07639,21.32367,21.93238,23.03566,23.37805,24.23404,24.23404,24.69057,24.97590,25.52754,26.72593,27.67703,28.17160,28.17160,28.17160,28.17160,28.17160,27.29659,26.80201,26.36451,26.11722,25.50852,24.82372,24.74764,24.57644,23.72045,23.28294,22.73130,22.40793,22.56011,22.97859,22.75033,21.74216,21.22856,21.24759,21.49487,21.11443
2021,Top Ryde 132_11kV,02MAY2020,MW,21.24759,20.77204,19.78289,19.76387,19.74485,19.02201,18.33722,17.34807,16.75839,16.43502,15.84534,15.23663,15.23663,14.93228,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.97032,15.23663,15.82631,15.92142,16.09262,16.60622,17.27199,17.55732,17.97580,17.97580,17.97580,18.50842,18.66059,18.66059,18.66059,18.66059,18.66059,18.33722,17.97580,17.97580,17.97580,17.31003,17.29101,17.91873,17.70949,17.29101,17.29101,17.29101,17.29101,17.29101,17.29101,17.29101,17.29101,17.29101,17.31003,17.89971,17.89971,18.14700,18.58450,18.66059,19.32636,20.03018,20.39160,21.45683,22.23673,23.11174,24.46231,25.45145,25.50852,25.50852,25.50852,25.41341,24.82372,24.82372,24.17698,23.91067,23.45414,22.92152,22.76935,22.76935,22.50304,22.08455,22.06553,21.39976,21.81825,22.06553,21.81825,21.24759,20.33453,20.81008,21.05737,20.79106
2021,Top Ryde 132_11kV,03MAY2020,MW,21.03834,20.82910,20.06822,19.80191,19.82094,19.02201,18.45135,17.63340,16.81546,16.43502,16.01653,15.35076,15.33174,15.17956,14.64695,14.64695,14.64695,14.64695,14.64695,14.64695,14.64695,14.64695,14.64695,14.64695,14.91326,15.33174,15.33174,15.99751,16.01653,16.70133,16.70133,17.13883,17.38612,17.78558,18.07091,18.26113,18.75570,18.03287,18.41331,18.41331,18.41331,17.95678,17.72851,17.72851,17.11981,17.04372,17.04372,17.25296,17.04372,17.04372,17.04372,16.47306,16.43502,16.03556,16.60622,16.60622,16.60622,16.60622,16.60622,17.27199,17.29101,17.97580,17.97580,18.37526,18.67961,19.34539,20.23942,20.81008,21.24759,22.73130,23.98676,24.86177,25.01394,25.67971,25.29927,24.99492,24.76666,24.31013,24.31013,22.99761,23.28294,23.28294,22.90250,22.59815,22.31282,21.70411,21.22856,20.84812,21.19052,21.22856,21.00030,20.20138,19.85898,19.82094,20.12529,19.47854
2021,Top Ryde 132_11kV,04MAY2020,MW,20.46768,20.42964,19.51658,19.19321,19.44050,18.58450,17.89971,17.13883,16.53013,16.09262,15.50294,15.40783,14.72304,14.26651,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,15.06543,15.23663,15.78827,16.60622,17.74754,18.66059,19.34539,20.12529,20.98128,22.75033,23.51121,24.31013,25.14710,25.85091,25.85091,25.28025,25.16612,24.80470,24.46231,23.79654,23.79654,23.20685,23.11174,22.46500,22.35086,22.35086,22.35086,21.58998,21.83727,22.25575,22.23673,22.35086,22.04651,21.66607,21.66607,21.66607,21.13345,21.38074,21.87531,22.44597,22.52206,22.35086,22.59815,23.56827,23.39707,23.72045,24.15795,25.73678,26.15527,27.42974,28.24769,28.93248,28.70421,28.68519,28.24769,28.00040,27.10637,26.63082,26.63082,25.90798,25.29927,24.69057,24.40524,24.06284,23.34001,22.48402,22.35086,21.70411,21.66607,21.66607,21.34270,20.46768,19.95409,19.83996,19.95409,19.95409
2021,Top Ryde 132_11kV,05MAY2020,MW,20.42964,20.23942,19.34539,19.09810,19.25028,18.41331,17.80460,16.92959,16.49208,15.78827,15.23663,15.23663,14.64695,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.55184,14.98934,15.23663,15.27467,16.72035,18.01384,18.66059,19.30734,20.48671,21.66607,22.80739,23.83458,24.78568,25.03297,24.69057,24.13893,23.92969,23.62534,23.34001,22.94055,22.94055,22.94055,23.35903,22.75033,23.03566,22.52206,21.83727,21.57096,21.57096,22.00847,22.35086,22.35086,21.72314,21.66607,21.30465,21.05737,21.05737,21.05737,21.05737,21.32367,21.57096,21.57096,21.76118,22.40793,22.86446,22.86446,23.30196,24.04382,24.42426,25.47047,26.53571,27.50583,27.01126,26.97321,26.93517,26.07918,25.86993,25.58460,25.09003,24.40524,24.10089,23.62534,23.30196,22.94055,22.94055,22.33184,21.57096,21.26661,20.88617,20.88617,20.65790,20.20138,19.63072,19.66876,19.85898,19.55463
2021,Top Ryde 132_11kV,06MAY2020,MW,19.80191,19.87800,19.25028,19.28832,19.26930,18.43233,17.76656,17.04372,16.33991,15.97849,15.33174,14.89423,14.89423,14.30455,14.20944,13.79096,14.03824,14.39966,14.72304,14.72304,14.72304,15.21761,15.40783,15.73120,17.40514,18.39428,19.17419,20.10627,20.82910,21.81825,22.78837,23.66338,24.13893,24.48133,24.48133,24.48133,23.01663,23.41610,22.67424,22.97859,22.52206,22.52206,21.85629,21.78020,21.15248,21.15248,21.15248,20.50573,20.69595,21.15248,21.15248,21.15248,21.15248,20.46768,20.94323,20.84812,20.29649,20.90519,20.29649,20.73399,20.98128,20.98128,21.74216,21.74216,22.10358,22.84544,22.44597,23.62534,23.92969,25.07101,26.00309,25.07101,23.83458,23.45414,23.62534,23.45414,22.52206,22.08455,22.08455,21.78020,20.92421,20.71497,20.71497,20.27746,19.95409,19.42147,18.90788,18.58450,18.58450,18.58450,18.50842,17.84265,17.29101,17.13883,17.38612,17.38612
2021,Top Ryde 132_11kV,07MAY2020,MW,17.82362,17.57634,16.81546,16.53013,16.60622,16.03556,15.38881,14.64695,13.94313,13.86705,13.20128,13.18225,12.91595,12.49746,12.49746,12.49746,12.49746,12.49746,12.49746,12.49746,13.03008,13.18225,13.18225,13.79096,15.23663,16.18773,16.81546,17.40514,18.33722,19.26930,20.42964,21.34270,21.72314,22.35086,22.97859,22.88348,22.35086,22.35086,21.91336,21.66607,21.66607,21.66607,20.94323,20.81008,20.16333,19.68778,20.20138,19.95409,20.20138,20.31551,19.70680,19.51658,19.63072,19.28832,19.30734,19.09810,19.11712,19.15517,19.51658,19.51658,18.94592,19.51658,19.51658,20.27746,20.42964,20.52475,20.88617,21.66607,22.25575,22.78837,23.54925,23.54925,23.54925,23.54925,23.45414,22.86446,22.54108,22.17966,21.89433,21.32367,20.69595,19.95409,19.95409,19.95409,19.49756,18.45135,17.89971,17.89971,17.89971,18.37526,17.72851,17.19590,16.81546,16.73937,16.94861,16.94861
2021,Top Ryde 132_11kV,08MAY2020,MW,17.27199,17.27199,16.37795,16.45404,16.64426,15.73120,14.91326,14.55184,13.96216,13.35345,13.08714,12.66866,12.66866,12.40235,11.98387,11.98387,11.98387,11.98387,11.83169,12.07898,12.13604,12.76377,12.76377,12.78279,14.20944,15.08445,15.76925,16.20675,16.91057,17.63340,18.28015,18.54646,19.00299,19.34539,19.76387,19.61169,19.30734,19.00299,18.92690,19.02201,18.50842,18.41331,18.41331,18.41331,18.41331,18.41331,18.41331,18.41331,18.41331,18.41331,18.67961,19.00299,19.00299,19.00299,19.00299,19.00299,18.66059,18.64157,19.00299,19.00299,19.00299,19.00299,19.64974,20.16333,20.37257,20.37257,20.37257,20.37257,20.52475,21.49487,22.25575,22.52206,21.91336,21.83727,21.17150,21.15248,20.82910,20.08724,19.78289,19.59267,18.77472,18.41331,18.41331,17.80460,17.48123,17.04372,17.04372,16.68230,16.85350,16.87252,16.87252,16.62524,16.18773,16.28284,16.60622,16.47306
2021,Top Ryde 132_11kV,09MAY2020,MW,16.68230,16.77741,15.97849,16.14969,16.16871,15.21761,14.57086,13.90509,13.29639,13.10617,12.61159,12.42137,11.88876,11.73658,11.73658,11.73658,11.73658,11.73658,11.73658,11.73658,11.73658,11.73658,11.73658,11.73658,11.75560,12.42137,12.64964,13.10617,12.76377,13.41052,13.88607,14.47575,14.47575,14.47575,14.53282,15.90240,15.10348,14.53282,15.67414,16.30186,16.70133,16.70133,16.70133,16.70133,16.60622,15.59805,14.64695,14.85619,15.02739,15.33174,15.33174,15.33174,15.59805,16.09262,15.52196,15.40783,15.82631,15.73120,14.72304,15.31272,15.67414,15.67414,15.67414,16.35893,16.35893,16.87252,17.11981,17.72851,17.97580,18.73668,19.47854,19.78289,19.78289,19.78289,19.78289,19.09810,18.62255,18.41331,18.26113,17.72851,17.72851,17.08177,17.04372,17.04372,16.35893,16.35893,16.35893,16.16871,16.37795,16.87252,16.94861,16.47306,15.78827,16.39697,16.87252,16.32089
2021,Top Ryde 132_11kV,10MAY2020,MW,16.56817,16.60622,15.90240,15.48392,16.18773,15.46489,14.64695,14.13335,13.46758,12.76377,12.76377,12.34529,12.07898,12.07898,11.96484,11.39418,11.39418,11.39418,11.39418,11.39418,11.39418,11.39418,11.94582,12.07898,12.07898,12.70670,12.76377,13.42954,13.44856,13.44856,14.19042,14.20944,14.55184,14.89423,15.10348,15.40783,15.40783,15.50294,16.09262,16.09262,16.09262,15.54098,15.50294,15.50294,15.50294,15.50294,15.33174,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,14.81815,15.12250,15.94045,16.26382,16.89155,17.11981,17.69047,18.45135,19.06006,20.04920,21.30465,21.89433,22.52206,22.52206,22.52206,22.52206,22.33184,21.83727,21.83727,21.83727,21.57096,21.15248,20.67693,20.46768,20.46768,20.46768,19.55463,19.53561,19.17419,19.17419,19.17419,18.60353,17.99482,17.70949,17.97580,17.88069
