year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Toronto West 132_11kV,01MAY2020,MW,11.19338,10.45747,10.15459,10.35433,9.88775,9.25451,8.90417,8.97217,8.27698,7.78361,7.36738,6.97288,6.78508,6.57911,6.37623,6.33105,6.27566,6.26401,6.28495,6.44479,6.61885,6.70569,6.74824,7.02060,7.49288,7.84173,8.34857,8.12617,7.99955,8.14245,8.13628,8.20472,8.22848,7.88494,7.82098,7.79444,7.57677,7.16118,7.03740,6.67348,6.46433,6.50038,6.87846,6.74163,6.66605,6.33273,6.60022,6.39496,6.80150,7.12709,7.08845,6.19064,6.28936,6.11142,6.32989,6.49524,5.89976,6.27264,6.18789,6.76557,6.81889,7.03370,7.65242,7.95352,8.39308,8.74822,9.33939,9.82866,10.24948,10.94429,11.59765,11.80035,12.00294,12.07157,11.99280,11.81844,11.70763,11.46405,11.25066,10.88563,10.71080,10.48961,10.30375,10.05860,9.70699,9.46388,9.64483,9.50514,11.13303,10.80402,10.66940,10.54920,11.12145,10.71428,10.98841,11.24666
2021,Toronto West 132_11kV,02MAY2020,MW,11.47249,10.95208,10.58912,10.54921,10.06541,9.40488,8.56700,7.74794,8.35519,7.75146,7.27123,6.90194,6.52032,6.10031,5.83954,5.61385,5.51856,5.50931,5.47436,5.50930,5.52508,5.40248,5.60850,5.76963,6.14322,6.35649,6.57342,6.87909,6.76387,6.83374,7.05908,7.21145,7.34984,7.28777,7.23093,7.31366,7.35553,6.95014,6.66286,6.35949,6.13073,5.77521,5.49054,5.26110,5.07369,4.90686,4.67613,4.54462,4.57693,4.46333,4.54245,4.49276,4.55420,4.50479,4.67743,4.71002,4.87564,5.11251,5.36960,5.40681,5.54350,5.87396,6.13397,6.62465,7.04168,7.34477,7.70445,7.98493,8.55323,9.20042,9.87365,9.94055,9.89399,9.87620,9.63252,9.51623,9.31025,9.19472,8.92759,8.79752,8.67000,8.50695,8.46745,8.09646,7.93216,7.60434,8.89743,8.38918,8.21325,8.03851,8.51252,8.53809,9.61837,9.08038,8.39865,8.59586
2021,Toronto West 132_11kV,03MAY2020,MW,8.87000,8.12782,7.99095,8.43594,7.65231,7.04407,6.53891,6.25825,6.58940,6.23194,5.95640,5.82115,5.72943,5.48937,5.33981,5.45711,5.34119,5.33330,5.33800,5.32221,5.37454,5.44544,5.51490,5.54224,5.95443,6.18219,6.49053,6.65329,6.47001,6.75744,6.90041,7.08463,7.19814,7.00876,7.04476,7.10780,6.94581,6.68519,6.44675,6.02862,5.74694,5.51020,5.28024,5.22437,4.90692,4.80614,4.70439,4.70441,4.71654,4.72724,4.56994,4.66480,4.78453,5.00389,4.72339,4.98041,5.26360,5.65152,6.06483,5.75714,6.17822,6.23472,6.74492,6.84289,7.24488,7.70183,8.21992,8.59001,8.97862,9.62180,10.31722,10.38570,10.45797,10.30302,9.95089,9.94329,9.79734,9.66408,9.47796,9.17721,8.93806,8.72456,8.76274,8.56916,8.45207,8.08625,9.32690,8.76680,8.45936,8.15483,8.71132,8.35089,9.87148,9.47844,8.82985,8.94872
2021,Toronto West 132_11kV,04MAY2020,MW,8.97194,8.31202,8.32824,8.84415,8.01959,7.30628,7.02493,6.97007,6.52354,6.26042,6.09190,5.85968,5.73142,5.68305,5.65203,5.62071,5.59992,5.53876,5.70302,5.83489,6.08131,6.24371,6.36147,6.76403,7.40118,8.03072,8.49978,8.30043,8.29959,8.54390,8.60833,8.73327,8.54885,8.48112,8.36445,8.04425,7.43397,7.11760,6.57062,6.04253,5.77560,5.50755,5.32655,5.17690,4.97494,4.76955,4.71041,4.97153,4.88967,4.89760,4.63031,5.27899,5.50922,5.26600,5.08555,5.14038,5.30565,5.49089,5.36469,5.54138,5.70329,6.07093,6.37617,6.67616,7.26229,7.75891,8.44499,8.97029,9.63108,10.51396,11.12203,11.23147,11.26336,11.08073,10.86704,10.59780,10.41944,10.38438,10.03083,9.70210,9.34281,9.17527,8.90790,8.75125,8.60205,8.29231,8.42961,8.22431,9.96280,10.08097,9.88197,9.73194,10.18494,9.75755,10.13208,10.58279
2021,Toronto West 132_11kV,05MAY2020,MW,10.97728,10.32707,10.02949,10.25421,9.91322,9.21068,8.70342,8.73072,8.23196,7.69523,7.30218,6.84043,6.71288,6.54815,6.37383,6.12010,6.04490,6.11759,6.27192,6.22039,6.43772,6.32312,6.51186,6.72894,7.21802,7.53831,7.76747,7.50816,7.23130,7.91512,8.36158,8.48845,8.83468,8.44406,8.35680,8.97569,9.26071,8.73003,7.96467,7.73447,7.29794,7.13332,7.23889,7.38162,8.36959,8.42447,8.70144,8.79282,8.97332,8.49114,8.14149,7.87196,7.73654,7.85101,7.17538,6.71512,7.10831,7.04712,6.60792,6.71708,7.56542,8.03186,8.04520,8.16658,8.60634,8.99063,9.44116,10.22693,11.07497,11.64458,12.15596,11.99874,11.87483,11.77475,11.49747,11.15973,10.82864,10.63072,10.26391,9.96324,9.92040,9.58771,9.29253,9.04941,8.85202,8.66630,8.93596,8.77758,10.80236,10.51234,10.28872,9.99684,10.53521,10.20442,10.50941,10.93863
2021,Toronto West 132_11kV,06MAY2020,MW,11.29837,10.71232,10.31215,10.42377,9.89005,9.16902,8.90201,8.98304,8.38784,7.90026,7.53213,7.12781,6.90368,6.67308,6.47334,6.44040,6.43272,6.41811,6.46507,6.40723,6.56657,6.75415,6.87237,7.18908,7.75977,8.19128,8.55602,8.37843,8.20847,8.49392,8.36077,8.27891,8.09806,7.99166,7.68744,7.57430,7.46560,7.01436,6.63377,6.19905,5.93125,5.83763,5.56811,5.39841,5.34589,5.13102,5.09822,5.11184,4.97418,4.98502,5.05594,5.11653,4.96988,5.01859,5.14566,5.20554,5.22318,5.34065,5.61947,5.92770,6.22257,6.43609,6.43976,6.73947,7.14840,7.50090,7.98628,8.54181,9.02388,9.54700,10.08279,10.21601,10.32253,10.31478,10.04484,9.82775,9.70743,9.57486,9.31775,9.06422,8.96941,8.86801,8.77455,8.58721,8.34385,8.10885,8.21555,8.11831,9.83863,9.68415,9.62600,9.31777,9.84838,9.51789,9.90508,10.50077
2021,Toronto West 132_11kV,07MAY2020,MW,10.87045,10.35402,10.02535,10.20921,9.75783,9.10289,8.74128,8.80510,8.19654,7.71858,7.30268,7.09421,6.79882,6.44175,6.27701,6.26743,6.29687,6.28628,6.43224,6.60952,6.71411,6.83105,7.01983,7.09335,7.64737,7.98527,8.33445,8.42571,8.02689,8.25326,8.42533,8.25446,8.22061,8.14272,7.91852,7.79762,7.68140,7.35186,7.17956,7.23952,7.20543,6.79788,6.57685,6.45735,6.13703,5.89976,6.35724,6.61552,6.71618,6.77370,6.26354,5.94737,6.12153,6.15600,6.40372,6.44947,5.91292,6.93354,6.73920,6.53592,6.97852,6.73863,6.98971,7.36889,7.55572,7.81135,8.36042,8.74535,9.14786,9.74049,10.16310,10.12895,10.14332,10.09178,9.83477,9.55127,9.34842,9.27331,8.98935,8.75333,8.72791,8.63142,8.47585,8.23570,7.97442,7.78608,8.42706,8.33489,10.25768,9.87963,9.70349,9.54425,10.09495,9.71372,10.04437,10.42012
2021,Toronto West 132_11kV,08MAY2020,MW,10.78980,10.25784,9.86753,10.03840,9.61360,8.92713,8.57984,8.61213,8.05962,7.58946,7.27017,6.84250,6.71183,6.44632,6.12424,6.10215,6.14529,6.07696,6.14867,6.24038,6.32469,6.46379,6.56743,6.72005,7.29708,7.41359,7.65961,7.49648,7.13190,7.22328,7.34158,7.25507,7.42172,7.27263,7.06312,6.83993,6.47484,6.17818,5.90992,5.65679,5.39835,5.30485,5.28886,5.02065,4.86386,4.71659,4.76827,4.75517,4.78753,4.79852,4.81096,4.79712,4.85042,4.88295,4.93191,4.77179,4.48001,4.59600,4.79142,4.99440,5.26032,5.51511,5.62562,5.87325,6.27166,6.48403,6.71082,7.01768,7.31580,7.78800,8.37117,8.32844,8.37510,8.24556,8.08606,7.89167,7.83947,7.75960,7.54808,7.25290,7.13943,6.88295,6.68728,6.56715,6.44590,6.35255,6.60248,6.58882,8.73858,8.43749,8.39251,8.17395,8.73141,8.38420,8.72217,9.11661
2021,Toronto West 132_11kV,09MAY2020,MW,9.50853,9.05735,8.79441,8.93921,8.45947,7.80677,7.23072,6.62973,7.16283,6.80068,6.41748,6.02129,5.78706,5.45012,5.26230,5.20713,5.22909,5.02340,4.96311,4.97528,5.09649,4.99067,5.13531,5.22466,5.57430,5.96835,5.98416,6.07021,6.18265,6.27598,6.27994,6.32670,6.54473,7.19666,6.67034,5.90242,6.56474,6.22715,6.66183,6.82567,6.56874,5.80217,6.64931,5.24498,4.90131,4.89676,5.29397,6.20912,6.10789,5.45861,4.27437,4.42787,5.20848,6.16006,6.27683,5.74154,5.97287,6.24988,6.36470,6.62555,6.71228,6.82205,7.33164,7.27216,7.03074,7.12876,7.25692,7.45537,7.70192,8.22596,8.58739,8.50546,8.57794,8.41700,8.32093,8.09450,7.99536,7.87683,7.61427,7.28623,7.23867,7.09485,7.06208,6.89245,6.93101,6.63279,8.00489,7.58536,7.46407,7.21270,7.67026,7.43145,8.58461,8.23597,7.86423,8.18965
2021,Toronto West 132_11kV,10MAY2020,MW,8.10473,7.11619,7.02168,7.62204,6.74106,6.09517,5.72769,5.34618,5.71023,5.47464,5.23953,4.96776,4.77593,4.77609,4.69268,4.65967,4.55041,4.55392,4.60285,4.77472,4.79068,4.81822,4.93083,4.98693,5.36564,5.50974,5.86252,6.02693,6.14506,6.42822,6.59244,6.86314,6.93361,7.07538,7.17397,7.36062,7.22877,7.02143,6.70448,6.38997,6.13322,5.84075,5.64847,5.42671,5.29977,5.05177,4.98071,4.84428,4.75005,4.73410,4.64677,4.60674,4.60139,4.61000,4.52355,4.52808,4.71861,5.02185,5.16263,5.32731,5.54944,5.79459,6.09900,6.56167,7.16936,7.65711,8.12896,8.46119,9.03007,9.83157,10.42236,10.46902,10.54654,10.66668,10.50574,10.34429,10.27970,10.29483,10.27488,10.07302,10.04035,9.91435,9.65361,9.40157,9.29608,8.94084,10.15718,9.48324,9.20297,8.78192,9.08070,8.72641,9.66503,9.20642,8.51240,8.68431
