year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Umina 66_11kV,01MAY2020,MW,14.52135,15.39974,16.12861,14.72693,13.51215,11.97965,13.02623,12.44687,11.15733,10.11075,9.36319,8.78383,8.37267,7.79331,7.38216,7.30740,7.38216,7.55036,7.55036,7.55036,7.56905,8.09234,8.26054,8.39136,9.06417,9.88648,10.42846,11.08258,10.69011,10.98913,11.40029,11.79276,11.62456,11.49374,11.49374,11.10127,10.44715,10.01730,9.71828,9.26974,9.26974,9.28843,8.82121,8.44743,8.22316,8.26054,7.90545,8.35398,9.12023,8.20447,8.54087,8.48481,8.57825,8.97072,8.22316,8.76514,8.70907,8.85859,8.87728,8.91465,9.32581,9.32581,9.66221,10.48453,11.28816,12.14785,13.13837,14.27840,14.83907,15.84827,17.04437,17.69848,18.12833,18.27784,18.05357,17.82931,17.49290,16.78272,16.42763,16.03516,16.14730,16.12861,15.97910,15.58663,15.23154,14.89513,14.25971,13.60559,13.10099,13.53084,16.14730,15.66138,15.73614,16.29681,16.68928,16.63321
2021,Umina 66_11kV,02MAY2020,MW,15.77352,16.59583,17.28733,15.51187,14.27840,12.80197,13.79248,13.04492,11.81145,10.78355,9.71828,8.93334,8.57825,8.22316,7.81200,7.79331,7.51298,7.45691,7.45691,7.45691,7.45691,7.64380,7.79331,7.96151,8.20447,8.65301,9.06417,9.66221,9.23237,9.38188,9.83041,10.26026,10.46584,10.55929,10.46584,10.46584,10.22288,10.11075,9.75566,9.60615,9.28843,9.02679,8.85859,8.54087,8.41005,8.22316,7.98020,7.88676,7.88676,8.20447,7.94283,7.92414,8.18578,8.01758,7.96151,7.96151,7.96151,7.96151,8.16709,8.59694,8.91465,9.19499,9.62484,10.18551,10.89569,11.68063,12.50294,13.49346,13.96068,15.02596,16.22205,17.13781,17.32470,17.17519,16.57714,15.99778,15.56794,15.36236,14.96989,14.54004,15.11940,14.76431,14.68955,14.24102,14.01675,13.77379,12.98886,12.39081,11.97965,12.65245,15.30629,14.87644,15.23154,16.01647,16.37156,16.70797
2021,Umina 66_11kV,03MAY2020,MW,15.64269,16.53977,17.32470,15.47449,14.35315,12.87672,13.84855,13.28788,11.99834,11.04520,10.16682,9.32581,8.82121,8.59694,8.11103,7.81200,7.56905,7.45691,7.45691,7.45691,7.45691,7.68118,7.75594,8.14840,8.14840,8.54087,9.21368,9.79304,9.62484,9.58746,10.31633,10.74618,11.02651,11.23209,11.23209,11.00782,10.98913,10.54060,10.27895,10.11075,9.94255,9.60615,9.19499,8.63432,8.42874,8.27923,8.12972,8.20447,8.03627,8.03627,8.03627,7.83069,7.96151,7.75594,7.92414,7.96151,7.81200,7.94283,8.26054,8.52218,8.87728,9.10154,9.53139,10.07337,10.74618,11.69931,12.46556,13.36264,13.77379,14.63349,15.84827,16.61452,16.98830,16.82010,16.55845,16.18467,15.56794,15.04465,14.76431,14.22233,14.70824,14.87644,14.68955,14.33446,13.88593,13.79248,13.02623,12.27867,11.86752,12.44687,14.78300,14.29709,14.76431,15.45580,16.03516,16.16599
2021,Umina 66_11kV,04MAY2020,MW,15.66138,16.27812,17.13781,15.41843,14.31577,12.68983,13.88593,13.11968,12.03572,10.74618,9.86779,9.21368,8.78383,8.41005,7.88676,7.81200,7.81200,7.62511,7.43822,7.69987,7.94283,8.26054,8.48481,8.91465,9.60615,10.12944,10.74618,11.96096,11.21340,11.41898,11.64325,12.11047,12.33474,12.50294,12.22261,11.69931,11.30685,10.57797,9.96124,9.55008,9.26974,8.83990,8.12972,7.73725,7.38216,6.95231,6.93362,7.13920,7.32609,7.56905,7.56905,7.38216,7.30740,7.92414,7.98020,8.05496,7.75594,7.34478,7.27002,7.10182,7.51298,7.94283,8.39136,9.10154,10.03599,10.93307,11.83014,12.91410,13.62428,14.82038,16.37156,17.02568,17.02568,16.98830,16.65190,16.03516,15.30629,14.96989,14.37184,14.01675,14.16626,14.16626,13.99806,13.56821,13.19443,12.89541,12.01703,11.19471,10.78355,11.26947,14.03544,13.26919,13.56821,14.01675,14.50266,14.82038
2021,Umina 66_11kV,05MAY2020,MW,13.86724,14.80169,15.68007,13.90462,12.85803,11.34422,12.68983,11.97965,10.80224,9.71828,8.80252,7.84938,7.56905,7.12051,6.85886,6.72804,6.72804,6.57853,6.41033,6.65328,6.82149,7.15789,7.45691,7.77462,8.39136,8.87728,9.38188,9.79304,9.28843,9.55008,9.96124,10.46584,10.72749,10.69011,10.76486,11.25078,11.40029,11.15733,11.21340,11.10127,11.15733,10.89569,10.14813,9.79304,9.81173,9.97993,10.14813,9.81173,9.69959,9.13892,8.35398,7.99889,7.21395,7.06444,6.95231,7.06444,7.06444,6.76542,6.89624,7.15789,7.41953,7.71856,8.07365,8.42874,9.25106,9.90517,10.63404,11.73669,12.35343,13.60559,14.83907,15.36236,15.68007,15.58663,15.17547,14.70824,14.16626,13.68035,13.15706,12.98886,13.47477,13.40001,13.11968,12.82065,12.54032,12.16654,11.36291,10.46584,9.92386,10.57797,13.19443,12.78328,12.97017,13.79248,14.37184,14.42791
2021,Umina 66_11kV,06MAY2020,MW,13.54953,14.33446,15.23154,13.54953,12.57770,11.02651,12.11047,11.53111,10.31633,9.15761,8.33529,7.84938,7.21395,6.97100,6.84017,6.84017,6.63460,6.50377,6.50377,6.50377,6.85886,7.21395,7.53167,7.86807,8.55956,8.89596,9.43795,10.16682,9.64352,9.66221,9.73697,9.79304,9.73697,10.01730,9.73697,9.26974,9.06417,8.85859,8.46612,7.99889,7.51298,7.12051,6.82149,6.57853,6.46639,6.16737,5.83097,5.96179,6.18606,6.12999,6.14868,6.18606,6.18606,5.94310,5.84966,5.84966,5.98048,6.22344,6.22344,6.22344,6.41033,7.08313,7.58773,7.84938,8.61563,9.26974,9.96124,10.74618,11.25078,12.57770,13.68035,14.37184,14.50266,14.63349,14.20364,13.64297,13.19443,12.72721,12.40950,12.05441,12.50294,12.48425,12.18523,11.96096,11.97965,11.81145,10.97044,10.39108,10.05468,10.57797,13.19443,12.68983,13.15706,13.94199,14.48398,14.48398
2021,Umina 66_11kV,07MAY2020,MW,13.68035,14.61480,15.45580,13.73642,12.67114,11.06389,12.18523,11.79276,10.55929,9.21368,8.46612,7.81200,7.17658,7.10182,6.78411,6.76542,6.76542,6.76542,6.54115,6.67197,6.80280,7.13920,7.49429,7.92414,8.27923,8.91465,9.56877,10.09206,9.36319,9.36319,9.69959,10.22288,10.27895,10.26026,10.42846,10.12944,10.01730,9.53139,9.66221,9.45663,8.98941,8.78383,8.70907,8.57825,8.29792,8.16709,7.99889,7.99889,7.83069,7.32609,7.23264,7.43822,7.04575,6.57853,6.69066,6.85886,7.45691,6.72804,6.95231,6.91493,7.25133,7.41953,7.56905,8.11103,9.04548,9.43795,10.07337,10.85831,11.32553,12.22261,13.30657,13.88593,14.09151,14.09151,13.77379,13.34395,12.87672,12.39081,12.12916,11.66194,11.99834,12.22261,11.86752,11.84883,11.58718,11.56849,11.04520,10.24157,9.84910,10.65273,13.23181,12.55901,12.74590,13.58690,14.20364,14.22233
2021,Umina 66_11kV,08MAY2020,MW,13.34395,14.31577,15.06333,13.51215,12.35343,10.91438,12.11047,11.43767,10.03599,9.10154,8.12972,7.51298,7.02706,6.84017,6.55984,6.52246,6.52246,6.52246,6.52246,6.52246,6.52246,6.84017,7.21395,7.41953,7.68118,8.11103,8.72776,9.30712,8.72776,8.95203,9.13892,9.13892,9.25106,9.41926,9.02679,8.91465,8.65301,8.26054,7.83069,7.55036,7.25133,6.78411,6.42902,6.41033,6.41033,6.14868,6.05524,6.05524,6.22344,6.03655,6.33557,6.33557,6.18606,6.18606,6.18606,6.18606,6.33557,6.65328,6.67197,7.27002,7.34478,7.36347,7.99889,8.07365,8.55956,9.15761,9.64352,10.26026,10.33502,11.11996,12.27867,12.72721,12.70852,12.59639,12.20392,12.12916,11.77407,11.34422,10.78355,10.70880,10.87700,10.85831,10.63404,10.44715,10.31633,10.20419,9.75566,9.30712,9.25106,10.07337,12.72721,12.11047,12.42819,13.36264,13.97937,14.03544
2021,Umina 66_11kV,09MAY2020,MW,13.00754,14.09151,14.59611,13.21312,11.97965,10.39108,11.56849,10.91438,9.71828,8.67170,7.81200,7.19527,6.80280,6.59722,6.27950,5.99917,6.11130,5.94310,5.94310,5.94310,5.94310,6.27950,6.27950,6.33557,6.63460,6.95231,7.17658,7.73725,7.34478,7.41953,7.98020,8.31661,8.82121,8.72776,8.67170,8.67170,8.63432,8.31661,8.01758,7.86807,7.79331,7.40084,7.86807,6.91493,7.73725,8.41005,6.82149,8.24185,7.81200,6.57853,6.54115,7.15789,7.21395,6.76542,7.68118,7.98020,8.42874,8.41005,8.14840,8.37267,8.72776,8.63432,8.91465,8.91465,8.97072,9.32581,9.62484,10.57797,10.76486,11.66194,12.40950,12.85803,12.91410,12.57770,12.20392,11.88620,11.58718,11.19471,10.72749,10.40977,10.78355,10.93307,10.91438,10.70880,10.35371,10.31633,9.83041,9.43795,9.38188,10.11075,12.83934,12.40950,12.63376,13.69904,14.14757,14.27840
2021,Umina 66_11kV,10MAY2020,MW,13.34395,14.39053,15.21285,13.49346,12.29736,10.78355,11.96096,11.34422,10.20419,8.87728,8.12972,7.56905,7.15789,6.65328,6.42902,6.42902,6.18606,6.09261,6.09261,5.98048,6.05524,6.05524,6.44771,6.80280,6.98969,7.17658,7.47560,8.03627,7.94283,8.14840,8.80252,9.17630,9.60615,9.88648,9.88648,9.68090,9.55008,9.56877,9.43795,9.34450,8.83990,8.50350,8.22316,8.12972,7.79331,7.51298,7.60642,7.32609,7.23264,6.93362,6.91493,6.93362,6.85886,6.85886,6.82149,6.61591,6.65328,6.95231,7.25133,7.55036,7.83069,8.14840,8.61563,9.15761,9.77435,10.76486,11.88620,12.65245,13.13837,14.12888,15.11940,15.99778,16.29681,15.96041,15.90434,15.58663,15.10071,14.76431,14.39053,13.97937,14.65218,14.37184,14.18495,14.03544,13.56821,13.53084,12.68983,11.94227,11.69931,12.12916,14.59611,13.96068,14.27840,14.95120,15.45580,15.62400
