year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Wamberal 132_11kV,01MAY2020,MW,7.64307,8.42564,7.88832,7.20475,6.76654,6.55726,6.71614,6.21688,5.71119,5.14097,4.91025,4.59956,4.49191,4.17291,4.14475,3.88194,3.77400,3.80793,3.93670,3.90312,4.03969,4.03584,4.37965,4.58511,4.97712,5.38756,5.78960,6.07162,5.79226,6.21413,6.37895,6.36719,6.39016,6.39421,6.27608,5.99767,5.84922,5.67613,5.41270,5.11120,4.85717,4.72871,5.14018,4.80516,4.18435,4.04710,3.89177,4.17472,4.03503,4.09937,4.40974,4.17726,4.11990,4.51791,4.35674,4.60928,4.39880,4.22863,4.30571,4.39879,4.63379,4.79701,5.11448,5.50149,5.76392,6.44293,6.87259,7.50227,7.81044,8.73382,9.66543,10.12634,10.27391,10.34749,10.14594,9.98311,9.80616,9.34892,9.14106,8.90618,9.30107,8.88159,8.99024,8.68291,8.81063,8.15313,7.91937,7.62446,7.62318,8.31085,8.45583,8.10303,8.82854,8.45798,8.85518,8.40649
2021,Wamberal 132_11kV,02MAY2020,MW,8.16456,8.87529,8.28770,7.67662,7.13475,6.78603,6.90649,6.27893,5.78533,5.39778,4.96307,4.65543,4.54882,4.30179,4.13034,4.06676,4.02447,4.04058,4.00931,4.05106,3.97825,4.06275,3.97246,4.15575,4.34061,4.54871,4.82296,5.03834,4.82417,5.13711,5.34634,5.51258,5.67934,5.73433,5.70772,5.56727,5.73512,5.53316,5.38327,5.30069,4.96027,4.67627,4.39101,4.17818,3.93476,3.82122,3.70105,3.69867,3.66011,3.67610,3.63190,3.65107,3.65553,3.65345,3.73316,3.80318,3.93672,3.99015,4.15240,4.43405,4.68952,5.05095,5.29270,5.57343,5.99869,6.33196,6.88015,7.27412,7.51660,8.21706,9.02768,9.50140,9.75078,9.70150,9.42019,9.11422,8.70516,8.51979,8.20519,8.00668,8.35392,8.15310,8.30627,7.93841,8.13385,7.61781,7.39218,7.00860,7.11089,7.83809,8.24596,7.97172,8.68056,8.28505,8.78319,8.38267
2021,Wamberal 132_11kV,03MAY2020,MW,8.17385,8.83629,8.30862,7.56907,7.07187,6.75940,6.99220,6.52032,5.87616,5.46500,5.12578,4.82211,4.55591,4.27681,4.22805,4.03864,4.00155,3.92206,3.92117,3.97227,4.06232,3.99519,4.06725,4.18455,4.37034,4.55161,4.73834,4.93087,4.95960,5.30511,5.48438,5.53493,5.73122,5.79330,5.85114,5.77654,5.74455,5.56149,5.33276,5.17716,4.91048,4.71518,4.44482,4.26323,4.04707,3.99139,3.75214,3.77842,3.67985,3.70044,3.58287,3.56410,3.57747,3.68506,3.69787,3.79769,3.80629,3.90800,3.98981,4.30401,4.51883,4.74262,5.12233,5.38324,5.76801,6.14221,6.65154,7.26492,7.67974,8.38332,9.35977,9.82031,9.95427,9.90546,9.66663,9.46471,9.12840,8.78219,8.52917,8.38340,8.72832,8.26453,8.46652,8.11283,8.22272,7.67266,7.37078,6.97130,6.97235,7.65747,7.90188,7.64898,8.34846,8.08136,8.59357,8.27082
2021,Wamberal 132_11kV,04MAY2020,MW,8.00583,8.83433,8.41710,7.79141,7.34594,6.99490,7.18882,6.64850,5.96699,5.50929,5.10015,4.88081,4.66027,4.41077,4.22734,4.10769,4.05835,4.04773,4.08581,4.10885,4.23516,4.38642,4.46180,4.68330,5.17655,5.59968,6.09609,6.54045,6.47779,6.73976,7.05996,7.12643,7.25240,7.23676,7.04694,6.68444,6.33907,6.03662,5.70480,5.26710,4.95057,4.73340,4.42239,4.28465,3.98114,3.66722,3.90169,3.94766,3.81064,3.93205,4.32770,4.42467,4.49899,4.43949,4.32752,4.45057,4.22962,4.28849,4.18643,4.29457,4.32743,4.70687,4.94760,5.25963,5.67993,6.14776,6.58493,7.28527,7.89315,8.83407,9.81952,10.29652,10.31739,10.22730,9.84905,9.67998,9.26776,8.97556,8.61469,8.35522,8.84219,8.48020,8.59751,8.11175,8.29337,7.70210,7.24704,6.73165,6.73851,7.60586,8.03343,7.75125,8.49766,8.10168,8.65237,8.35701
2021,Wamberal 132_11kV,05MAY2020,MW,8.07547,8.78004,8.15939,7.52846,7.06068,6.96364,7.09336,6.45045,5.96741,5.48522,5.16945,4.79366,4.66234,4.45573,4.29637,4.21437,4.12272,4.16860,4.17252,4.15685,4.30282,4.39963,4.57291,4.61911,4.80606,5.19006,5.75155,6.04118,5.82717,6.20816,6.33698,6.21267,6.59114,6.62436,7.03535,7.19887,6.68450,5.67219,6.45922,6.40990,5.84806,5.59569,4.84815,4.58383,4.72363,5.44773,5.93006,5.94134,5.62534,5.21204,5.41039,5.73561,4.87874,4.55637,4.80806,4.68727,4.69106,4.35851,4.51009,4.68069,4.96130,4.81876,5.00980,5.29873,5.58988,5.83319,6.28450,6.92509,7.47063,8.30134,9.19129,9.62351,9.88197,9.86821,9.57524,9.23316,8.94551,8.61944,8.35257,8.26870,8.56115,8.13133,8.35452,7.86573,8.02279,7.54630,7.27854,6.86851,6.93918,7.64639,7.91302,7.57527,8.42672,8.13829,8.66905,8.17867
2021,Wamberal 132_11kV,06MAY2020,MW,7.72925,8.55883,8.08731,7.44708,6.95020,6.71618,6.90897,6.51406,5.99341,5.59807,5.16250,4.77474,4.55035,4.40007,4.31172,4.03511,3.94095,3.99849,3.96774,4.01889,4.10538,4.24075,4.45950,4.70958,5.01769,5.47713,5.92753,6.12546,5.95462,6.32388,6.37633,6.31346,6.26372,6.20768,5.99063,5.70793,5.43267,5.04620,4.65455,4.44763,4.17277,3.92360,3.84339,3.74575,3.73783,3.61266,3.45375,3.41693,3.40781,3.30222,3.28670,3.13643,3.30288,3.31225,3.29712,3.34058,3.43816,3.47016,3.64768,3.82661,3.98697,4.28458,4.51258,4.88201,5.11180,5.46589,5.91882,6.49342,6.70485,7.62328,8.46058,8.88194,9.30706,9.17601,8.95109,8.69477,8.49409,8.16898,7.94369,7.73472,8.08432,7.77602,7.90569,7.54237,7.78951,7.42739,7.14790,6.66251,6.66876,7.40132,7.75243,7.48616,8.25103,7.93553,8.57019,8.00292
2021,Wamberal 132_11kV,07MAY2020,MW,7.78209,8.66372,8.10654,7.54731,7.08904,6.73393,6.83174,6.37015,5.85464,5.42958,5.13072,4.82308,4.52923,4.36739,4.10747,4.04787,3.98115,3.99505,3.94894,3.98660,4.17604,4.31938,4.47190,4.76049,5.13701,5.43851,5.75795,6.14338,5.80217,6.11720,6.38447,6.46273,6.43817,6.29432,6.31519,6.38825,6.23271,6.14222,5.99631,5.81624,5.41013,5.28684,5.19285,5.08081,4.75231,4.53966,4.45561,4.30532,4.18664,4.10472,4.16852,4.09483,3.92011,3.60952,3.69812,3.70499,4.04669,3.83283,3.92130,4.02380,4.19137,4.34734,4.60101,4.86157,5.15124,5.43353,5.72671,6.26188,6.64280,7.31906,8.17301,8.67516,9.01414,8.87364,8.66935,8.49536,8.18278,7.89817,7.65947,7.38484,7.77968,7.42163,7.76369,7.36781,7.60016,7.18546,6.81023,6.42095,6.40664,7.08911,7.55331,7.27264,8.01314,7.75698,8.27978,7.87026
2021,Wamberal 132_11kV,08MAY2020,MW,7.59688,8.45341,7.99241,7.41463,6.89650,6.55798,6.79009,6.35439,5.74920,5.27850,4.94294,4.44148,4.10145,3.97545,3.99830,3.86285,3.83063,3.76954,3.77957,3.76772,3.89036,4.03212,4.32755,4.38376,4.74767,5.06516,5.36070,5.58203,5.34358,5.64897,5.75797,5.64641,5.76174,5.69364,5.48525,5.25975,5.03839,4.82606,4.58774,4.27681,4.10637,3.98344,3.70186,3.50458,3.40686,3.15410,3.12448,3.16174,3.18242,3.11796,3.22123,3.23828,3.22973,3.26957,3.36329,3.41655,3.55794,3.58063,3.78387,3.97082,4.22317,4.44288,4.64677,4.79720,5.05182,5.27494,5.80376,6.12883,6.28262,6.84958,7.59953,7.87207,7.86455,7.79227,7.69292,7.52385,7.30857,7.11409,6.80623,6.54177,6.95758,6.62191,6.88558,6.51718,6.74587,6.30512,6.15492,5.78488,5.85710,6.64742,7.15687,6.87543,7.71727,7.56679,8.22356,7.71829
2021,Wamberal 132_11kV,09MAY2020,MW,7.38035,8.15226,7.75105,7.14350,6.61418,6.30840,6.43367,6.03274,5.52725,5.05398,4.77009,4.38925,4.25943,4.14929,3.97039,3.92477,3.81789,3.63675,3.55147,3.57924,3.66003,3.65410,3.68659,3.83450,3.96913,4.18323,4.37020,4.56378,4.37303,4.39191,4.58599,4.81569,5.00243,5.45670,5.26476,4.87137,4.66420,4.60601,4.74123,5.02106,4.64311,4.16248,3.85921,3.61625,4.09131,5.25704,5.16621,4.97261,4.77938,3.56206,4.16441,4.13319,3.33010,3.75812,4.66491,4.59712,4.93300,4.78649,5.06097,5.16836,5.18687,5.33321,5.48569,5.32042,5.44322,5.46409,5.73022,6.15022,6.45053,7.04504,7.45575,7.87474,7.85130,7.84393,7.62998,7.32164,7.01878,6.86377,6.58729,6.31284,6.77218,6.50080,6.80313,6.31062,6.66348,6.27562,6.09271,5.80012,5.97615,6.87656,7.49374,7.35680,8.19500,7.94309,8.48764,7.97902
2021,Wamberal 132_11kV,10MAY2020,MW,7.72385,8.49641,7.91243,7.34109,6.91213,6.50538,6.63741,6.25857,5.68848,5.30485,5.04429,4.65581,4.46848,4.21796,4.06994,3.98514,3.98923,4.00957,3.86992,3.86584,3.72207,3.75830,3.80057,3.90802,4.10166,4.23882,4.46145,4.77083,4.73296,5.05102,5.25948,5.58342,5.71837,5.89336,5.93981,5.85677,5.79019,5.74426,5.58412,5.45745,5.19595,4.85777,4.71272,4.47738,4.30036,4.13003,4.09447,4.19505,4.03986,4.01710,3.78317,3.67295,3.47098,3.55567,3.53078,3.54983,3.57748,3.68494,3.90348,4.11823,4.28375,4.56559,4.95173,5.38732,5.90272,6.34126,6.84747,7.37620,7.70570,8.47704,9.11545,9.40905,9.56049,9.74514,9.65489,9.46234,9.27910,9.10355,8.89729,8.72739,9.02982,8.73306,8.86783,8.43769,8.56827,8.00728,7.76084,7.22534,7.33787,7.99124,8.28404,8.01202,8.64530,8.36895,8.91210,8.60204
