year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Waverley 132_11kV,01MAY2020,MW,13.41316,13.04460,11.88876,11.88876,11.41622,10.97336,10.97336,10.81253,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.06558,10.38327,10.97192,11.82215,12.54984,13.27328,14.40596,15.40313,16.19871,17.10499,17.87221,18.83598,19.05399,19.05399,19.46131,19.78245,18.95503,18.95503,18.95503,18.95503,18.31005,18.64257,18.13288,18.13288,18.13288,18.13288,18.13288,18.13288,18.13288,18.13288,18.63145,19.45745,19.01783,19.01783,18.50142,18.14430,18.14430,18.14430,18.14430,18.14430,18.46497,19.05590,19.05590,19.05590,19.63622,20.47648,21.65583,22.43779,23.78249,25.22965,26.46070,27.02805,27.02805,27.82529,27.77943,26.95192,26.30370,25.70207,25.16870,24.34491,23.50493,23.30578,22.49102,21.81485,21.38957,20.73444,20.02326,19.84378,19.44996,18.96264,18.38466,17.47786,16.85570,15.97832,15.00900
2021,Waverley 132_11kV,02MAY2020,MW,14.60451,14.33854,13.69101,13.30114,12.82510,12.18328,11.96679,11.96679,11.30457,11.10278,11.10278,11.10278,11.10278,11.10278,11.10278,11.10278,10.50727,10.24257,10.24257,10.24257,10.24257,10.24257,10.50411,11.10468,11.10468,11.91226,12.11115,12.86506,13.54834,14.08162,14.85748,15.65693,15.96487,16.56472,17.38321,17.63103,18.34603,19.01733,19.31662,19.31662,19.31662,19.31662,19.31662,19.31662,19.31662,19.31662,19.31662,18.79030,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,18.44690,19.17753,19.71945,20.66932,21.45982,22.59009,24.30919,25.87971,26.46282,27.10388,27.32493,27.32493,27.32493,26.86870,26.29991,25.52356,24.66438,24.65575,23.78704,23.53002,22.88877,22.27575,21.96957,21.09080,20.52956,20.14448,19.69748,19.27666,18.73447,17.93659,17.21689,16.36985,15.61321
2021,Waverley 132_11kV,03MAY2020,MW,14.79672,14.46999,13.93651,13.32330,13.07060,12.61988,12.19136,12.19136,12.13260,11.32925,11.32925,11.32925,11.32925,11.32925,11.32925,11.32925,10.97650,10.42336,10.42336,10.42336,10.42336,10.42336,10.42336,10.63974,11.29499,11.50882,12.17042,12.70723,13.12254,13.92319,14.40835,15.26243,16.43941,16.61039,17.34336,17.73862,18.48496,18.88367,19.35468,19.35468,19.35468,19.35468,19.35468,18.95008,19.08951,18.54728,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.41835,18.87394,19.29759,19.29759,19.66576,20.71169,21.73712,23.30480,24.73645,26.84725,27.53785,28.44206,28.44206,28.44206,28.44206,28.34427,27.48479,26.89839,26.58973,25.73773,25.15003,24.42906,23.65399,22.66221,22.10334,21.27493,20.38876,19.43462,18.84098,18.28363,17.63617,16.75564,15.62407,14.96800,14.10455
2021,Waverley 132_11kV,04MAY2020,MW,13.93456,13.20381,13.09543,12.32267,12.32267,11.75373,11.46437,11.46437,11.46437,11.16587,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,10.60035,11.07866,11.78766,12.48370,13.30896,14.52723,15.42248,16.39329,17.77895,18.93480,19.66308,20.84419,21.35105,21.35105,21.35105,21.35105,21.35105,21.35105,20.54516,20.14404,19.57545,19.57545,19.57545,19.46608,18.70001,18.70001,18.81549,19.83655,19.48981,19.48981,19.48981,20.32884,20.27989,19.51455,19.51455,19.51455,19.51455,19.51455,19.51455,19.51455,19.51455,19.51455,20.12558,20.41282,21.06976,21.86875,22.86927,24.75542,26.67257,28.34456,29.78870,30.97115,31.24725,31.24725,31.24725,31.02973,30.37182,29.48424,28.51049,27.46121,26.54528,25.79095,24.66953,23.72231,22.81015,22.30875,21.31148,20.39506,19.08096,18.67285,17.64129,16.38791,15.61571,15.08980,14.33572
2021,Waverley 132_11kV,05MAY2020,MW,14.06281,13.33132,13.22414,12.46160,12.26050,11.57284,11.57284,11.57284,11.57284,11.28156,10.68409,10.68409,10.68409,10.68409,10.68409,10.68409,10.68409,10.68409,10.68409,10.68409,10.68409,11.42061,11.54810,11.76585,12.56451,13.34199,14.51255,15.66600,16.66532,18.07069,19.22993,20.38442,21.29053,21.90950,22.22078,22.22078,22.22078,21.61203,21.35867,21.35867,20.76792,19.98432,19.61732,19.61732,19.61732,19.61732,19.61732,19.61732,19.61732,19.61732,19.97174,20.42147,19.63825,19.63825,19.63825,19.63825,19.63825,19.21980,18.72285,18.72285,18.72285,18.72285,18.72285,19.13205,19.59448,19.70847,20.46610,21.62692,22.91826,24.70867,26.79454,28.23261,28.75245,29.65244,29.65244,29.65244,29.65244,28.84305,27.96720,27.09413,26.16800,25.92273,24.82567,23.82605,23.22937,22.22483,21.51853,20.82479,20.29813,18.97112,18.78938,17.51495,16.41636,15.56665,14.88434,14.32647
2021,Waverley 132_11kV,06MAY2020,MW,13.45503,13.18626,12.58530,12.45784,11.71177,11.71177,11.71177,11.34219,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,10.83824,11.35660,11.70416,12.57372,13.29701,14.32021,15.51193,16.39777,17.44118,18.57956,19.43819,19.95368,20.87032,21.44621,21.44621,20.82341,20.49655,19.76971,19.60780,19.47530,18.71524,18.56092,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,17.85693,18.39856,19.01892,19.73384,20.88664,21.71982,23.76858,25.29723,26.59614,27.63992,27.87493,27.87493,27.87493,27.80639,27.01472,26.35040,25.92455,24.93290,24.10190,23.14628,22.52908,22.21773,21.05831,20.75347,19.66350,19.00451,18.41752,17.77122,17.06342,16.17498,15.15252,14.45036,13.92686
2021,Waverley 132_11kV,07MAY2020,MW,13.57112,12.92049,12.65572,12.05462,11.79361,11.70198,10.93150,10.93150,10.93150,10.93150,10.93150,10.12022,10.04464,10.04464,10.04464,10.04464,10.04464,10.04464,10.04464,10.04464,10.40671,10.92198,10.92198,11.46832,12.36838,13.04121,13.86016,14.93223,15.79673,16.89131,18.02220,18.76273,19.84448,20.78091,20.81818,21.13498,21.42255,20.78963,20.39770,19.84188,19.84188,19.84188,19.84188,19.84188,19.84188,19.20739,18.97596,18.97596,18.97596,18.97596,18.97596,18.97596,18.97596,18.97596,18.26409,18.10243,18.10243,18.10243,17.44491,17.23271,17.23271,17.49807,18.12717,18.12717,18.12717,18.98659,19.65715,20.50319,21.58902,22.64095,24.45755,25.73275,26.30106,27.06544,27.21645,27.21645,27.21645,26.50094,25.89611,24.92845,24.31925,23.59102,22.94858,22.03130,21.42303,20.60062,20.11783,19.42259,18.90160,18.34413,17.74619,16.77481,15.79124,15.04085,14.45735,13.78542
2021,Waverley 132_11kV,08MAY2020,MW,13.09914,12.86363,12.20278,11.95799,11.31402,11.31402,11.31402,10.51571,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.45572,10.66870,11.34447,11.97283,12.32468,13.24732,14.05261,15.02758,15.86871,16.74932,17.51159,18.35028,18.56679,19.06700,19.58686,19.58686,19.58686,19.36240,18.69050,18.56847,17.82839,17.82839,17.82839,17.82839,17.18490,16.95676,16.95676,16.95676,17.01035,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,17.81887,18.24372,18.90365,18.90365,19.62682,20.22652,21.27119,22.69507,23.63175,24.22476,24.22476,24.04054,23.30936,22.90739,22.44725,21.92652,21.20315,20.68687,20.23636,19.82856,19.23328,18.71939,18.05676,18.05676,17.36697,17.10140,17.10140,16.79984,16.10435,15.35814,14.67779,14.36248,13.55970
2021,Waverley 132_11kV,09MAY2020,MW,13.32981,12.69188,12.49834,11.83167,11.78364,10.97146,10.97146,10.97146,10.97146,10.53972,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.08271,10.36244,10.97527,11.19108,11.94395,12.19851,12.91424,13.76989,14.57406,14.57406,15.43651,15.73502,16.44534,17.24984,17.75845,18.14240,17.94998,19.04697,19.11109,19.11109,19.11109,19.11109,19.11109,18.33553,17.14793,17.14707,17.14707,17.14707,18.04832,18.06818,17.55930,17.15088,17.15088,17.15088,17.15088,17.15088,17.15088,17.15088,17.15088,17.15088,17.15088,17.15088,17.26939,18.09716,19.02545,19.75060,20.34415,21.73929,22.61991,22.65278,22.65278,22.65278,22.65278,22.47863,21.76593,21.28010,20.58588,19.97607,19.12821,19.12821,18.27971,17.95793,17.34880,17.34880,16.84269,16.46766,16.46766,16.46766,16.02264,15.56368,14.68139,14.04926,13.59486
2021,Waverley 132_11kV,10MAY2020,MW,12.94119,12.92163,12.07337,12.07337,11.53314,11.18080,11.18080,10.86744,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.29776,10.39272,11.15606,11.68576,12.11929,12.96973,13.82943,14.39840,15.67115,16.54525,16.56091,16.91242,17.43254,17.91943,18.32510,18.32510,18.32510,18.32510,18.32510,18.32510,18.32510,18.32510,18.32510,17.80051,17.45918,17.45918,17.45918,17.45918,17.45918,17.38948,16.59707,16.59707,16.59707,16.59707,16.59707,16.59707,16.59707,17.00905,17.46108,17.57903,18.32700,18.88932,19.76696,20.71874,21.61259,22.97041,24.42823,25.75120,26.31800,27.10988,27.10988,27.10988,26.79180,26.18687,26.08597,25.32476,24.50995,23.97858,23.37293,22.61472,21.92370,21.17522,20.74967,19.79960,19.01212,18.40163,18.12908,17.21730,16.39545,15.46829,14.65209,14.08281
