year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,West Gosford 132_11kV,01MAY2020,MW,21.99899,22.30766,22.58321,21.16426,20.26376,18.93917,19.84484,19.15659,18.16455,17.23626,16.48649,15.91724,15.20453,14.99058,14.66686,14.45472,14.48647,14.48532,14.79298,15.16179,15.80241,16.20926,16.78130,17.54771,18.50297,19.27970,20.28142,21.23525,21.50494,22.13406,22.70140,23.16358,23.96218,24.16170,23.99577,23.90628,23.73575,23.31025,22.95814,22.58144,22.20338,21.90762,21.94523,21.32983,21.21474,21.16291,21.18072,20.77709,20.82961,20.93338,21.36259,20.68651,20.47521,20.83095,20.89078,21.47853,20.86809,20.96832,20.78607,20.99610,21.40760,21.78989,22.01401,22.67095,23.20268,23.64366,24.16017,24.65061,25.00770,25.89236,27.18422,27.67797,27.78579,27.98457,27.77776,27.40983,26.96262,26.22473,25.82590,25.12922,25.19145,24.80154,24.69919,24.41899,23.95069,23.52749,22.90003,22.06094,21.75065,21.90528,23.61779,22.71324,22.66633,22.77509,23.85295,23.47895
2021,West Gosford 132_11kV,02MAY2020,MW,23.13259,23.46914,23.60023,22.03119,21.08283,19.85020,20.60337,19.80892,18.64405,17.61892,16.69059,16.11335,15.34004,15.18204,14.98940,14.72958,14.56112,14.46370,14.33809,14.40165,14.62753,14.74888,15.01978,15.58309,15.86531,16.17533,16.66950,17.04746,16.62487,16.80273,17.20338,17.64537,18.54676,18.62263,18.72450,18.96485,18.89530,18.63412,18.39761,18.11732,17.93539,17.67542,17.42723,16.92066,16.83511,16.76901,16.63290,16.43423,16.50005,16.52246,16.61211,16.37624,16.33342,16.30076,16.46313,16.60049,16.44899,16.75119,17.02599,17.26936,17.73118,18.23568,18.80021,19.44495,19.90456,20.59701,21.47085,22.35161,22.46084,23.40517,24.84911,25.64232,25.78303,25.68340,25.43273,25.09263,24.70132,23.94723,23.45396,22.75753,22.98692,22.84661,22.82132,22.45932,22.40436,21.96558,21.52176,20.49986,20.33029,20.73102,22.50139,21.65846,21.88148,22.03024,23.13113,22.90449
2021,West Gosford 132_11kV,03MAY2020,MW,22.49033,22.80866,23.20917,21.76167,20.92643,19.66323,20.39570,19.87697,18.64723,17.68006,16.70900,16.08950,15.52180,14.95630,14.73686,14.47908,14.39383,14.20876,14.06868,14.08008,14.25257,14.41654,14.67203,15.00499,15.44489,15.44049,15.89371,16.10906,15.97527,16.31703,16.33708,16.54745,16.96990,17.09820,17.37968,17.65644,17.82797,17.80685,17.74288,17.46465,17.09193,16.71185,16.46680,16.02862,16.01118,15.70101,15.80134,15.48865,15.70539,15.68382,15.75029,15.67123,15.56425,15.88858,16.29452,16.75759,17.68158,17.22020,16.83806,17.19575,17.59837,17.91048,18.16548,18.69006,19.29844,20.02475,20.82318,21.84634,22.16701,23.38144,25.05232,25.90732,26.23605,26.17497,25.88122,25.44892,24.54579,24.05753,23.45610,23.27506,23.24288,23.17436,23.13464,22.74333,22.50918,22.08340,21.52990,20.70425,20.35106,20.48905,22.40989,21.66707,21.85443,21.93378,22.98461,23.07150
2021,West Gosford 132_11kV,04MAY2020,MW,22.52009,22.99266,23.31072,21.93008,21.02000,19.66462,20.36322,19.89456,18.74295,17.68480,16.89247,16.13477,15.53897,15.27181,14.92441,14.82161,14.89439,14.83336,14.94856,15.18611,15.89347,16.42452,16.90600,17.73144,18.76253,19.87021,20.89581,22.31755,22.64834,23.57664,24.72225,25.51034,26.07184,26.35388,26.39364,26.10226,25.57969,24.99994,24.19243,23.97727,23.45752,22.88467,22.58512,22.06683,22.00862,21.60882,21.44792,21.29665,21.22613,21.13359,21.31451,21.31385,21.26222,21.30674,21.09618,21.40367,21.40195,21.24609,21.47274,21.69463,21.90330,22.37941,22.65518,23.06122,23.28418,23.57799,24.35813,24.94401,25.66813,26.94256,28.19966,28.89907,28.69783,28.51721,27.99439,27.44219,26.56714,25.84566,25.22049,24.61485,24.62786,24.33141,24.15416,23.81935,23.39634,22.98800,22.16257,21.29905,20.77949,20.89802,22.65980,21.76374,21.93642,21.97485,22.90374,22.83812
2021,West Gosford 132_11kV,05MAY2020,MW,22.36780,22.84077,23.27565,21.82828,20.68537,19.52093,20.42189,19.72995,18.70470,17.56693,16.89353,16.32412,15.58575,15.02341,14.70763,14.56786,14.60304,14.68537,14.94071,15.21465,15.70239,16.25131,16.46631,17.22749,18.28692,19.26090,19.85621,21.17487,21.41442,22.06132,22.94523,23.81617,23.85757,24.41897,24.78493,25.20846,25.84255,26.00159,25.90340,26.04309,25.75647,25.00629,25.14945,25.98033,24.26560,24.09617,24.78742,25.25762,25.00063,24.50699,23.82958,22.88414,22.53666,22.23811,22.40535,22.55109,21.73630,21.67066,21.56500,21.71851,21.94060,22.22906,22.50123,22.80791,22.77414,23.19406,23.78030,24.17878,24.49260,25.58439,26.93293,27.61027,27.68192,27.64740,27.18972,26.35377,25.53947,24.90025,24.61973,24.07553,24.12970,23.80074,23.58961,23.15620,22.58479,22.13260,21.29115,20.57479,20.33174,20.56639,22.40155,21.52113,21.63450,21.74816,22.95690,22.88466
2021,West Gosford 132_11kV,06MAY2020,MW,22.35758,22.78244,23.07038,21.62330,20.79304,19.53256,20.23972,19.59732,18.49673,17.57261,16.70961,16.05727,15.55828,15.08080,14.99179,14.82390,14.87911,14.84800,15.06869,15.41015,15.80646,16.25400,16.72069,17.58990,18.61308,19.33965,20.49600,21.65122,21.79619,22.33317,23.16379,23.69355,24.17737,24.56523,24.49803,24.12123,23.68114,23.31595,22.96207,22.62024,22.35400,21.94994,21.89889,21.71060,21.37728,21.53824,21.47800,21.43420,21.51933,21.47371,21.01998,21.10566,21.05595,21.06653,21.04555,21.11132,21.46085,21.53673,21.56470,21.84643,21.77886,22.16939,22.27600,22.46465,22.47627,22.92261,23.21963,23.66256,23.77505,24.91684,26.04748,26.44667,26.23413,26.16274,25.75383,25.21838,24.28931,23.94542,23.57230,23.10746,23.28778,22.94647,22.73765,22.36041,22.08868,21.71764,21.17803,20.16763,19.94762,20.15226,21.98039,21.10798,21.29724,21.43212,22.50823,22.42170
2021,West Gosford 132_11kV,07MAY2020,MW,21.95865,22.38152,22.69361,21.28731,20.56811,19.18049,20.06668,19.57027,18.51937,17.45124,16.84104,15.94477,15.56697,15.13183,14.69393,14.73606,14.71646,14.76436,14.96180,15.17797,15.85255,16.28725,16.91732,17.36500,18.50484,19.58272,20.34761,21.69030,21.64791,22.49087,23.27708,23.92344,24.89062,25.35781,25.59617,25.77484,25.64208,25.43435,25.04973,24.93657,24.29269,24.05391,23.93603,23.38609,23.32323,23.38536,23.07506,22.63141,22.36732,22.47924,22.88196,22.30408,21.83291,21.81119,21.61682,21.79503,21.95279,21.77775,21.45692,21.92804,22.11188,22.34880,22.31078,23.06700,22.91105,22.76716,22.48804,22.80025,22.84311,23.40251,24.43949,24.66469,24.67784,24.49148,24.29558,23.82959,23.25130,22.47959,21.86991,21.49646,21.49650,21.35022,21.15124,20.80838,20.78773,20.31367,19.86290,19.16439,18.91427,18.96128,20.65759,20.01442,20.14284,20.31741,21.34307,21.24366
2021,West Gosford 132_11kV,08MAY2020,MW,20.78109,21.07738,21.39705,20.04870,19.24601,18.02509,18.90984,18.35497,17.30734,16.45597,15.72067,15.20239,14.51903,14.25731,14.06658,13.92771,13.98783,14.01537,14.09296,14.46497,14.87676,15.15465,15.89783,16.51033,17.40163,18.05433,18.95419,19.77293,19.90652,20.46392,20.86154,21.20655,22.01936,22.47327,22.75051,22.53567,22.43532,22.20355,21.95835,21.82469,21.46869,21.15089,20.70512,20.62050,20.82788,20.64600,20.45630,20.44263,20.61782,20.95508,20.90849,20.98284,21.14688,21.27882,21.27381,21.32854,21.40307,21.40265,21.54564,21.78392,22.03383,22.09535,22.25424,22.54586,22.53237,22.61264,22.70367,22.69251,22.50930,23.21843,23.94190,23.94505,23.89995,23.89377,23.49878,23.00907,22.46923,21.85301,21.32146,20.96505,21.22349,20.95568,20.83973,20.47139,20.30861,19.96497,19.42045,18.88935,18.83059,19.26596,21.20292,20.47106,20.67370,20.87749,21.93469,21.92242
2021,West Gosford 132_11kV,09MAY2020,MW,21.49713,21.93478,22.17384,20.68899,19.92827,18.57222,19.41956,18.63535,17.72432,16.61281,15.96605,15.30975,14.79247,14.45224,14.18310,14.07965,13.92838,13.84640,13.90453,13.87635,13.93907,14.13668,14.52524,14.80460,15.32936,15.55211,15.80791,16.18226,15.86804,15.98019,16.50723,16.64659,18.25210,18.20933,17.66824,17.69648,17.76211,17.85875,17.89487,17.87166,17.57999,16.98000,16.80017,16.43023,17.79547,19.24323,18.47201,17.44304,16.38056,16.48904,17.21995,17.28798,16.35220,16.83254,18.26761,18.12255,17.99939,17.70389,18.12515,18.73432,19.13878,19.17104,19.09782,18.80443,18.72267,18.89827,19.50825,20.13337,20.16208,21.14034,22.00076,22.50059,22.36120,22.43147,22.09493,21.76941,21.25591,20.60136,20.20997,20.04285,20.10158,19.81158,19.65860,19.41265,19.44528,19.15557,18.73727,18.22854,18.06845,18.65631,20.77007,20.00823,20.28050,20.64392,21.89689,21.75109
2021,West Gosford 132_11kV,10MAY2020,MW,21.34616,21.53126,21.68208,20.48321,19.62430,18.22899,19.20667,18.54494,17.46911,16.55284,15.87452,15.10395,14.52806,14.23380,14.00245,13.76364,13.72475,13.61430,13.58586,13.60517,13.60925,13.93619,14.07952,14.39220,14.86605,15.02161,15.36232,15.85088,15.50140,15.77294,16.02889,16.56592,16.91261,17.15570,17.19236,17.20847,17.58362,17.56351,17.36618,17.07541,17.02205,16.66652,16.38564,16.16629,15.93126,15.66862,15.60128,15.52554,15.30685,15.25311,15.37252,15.32615,15.36359,15.36370,15.46645,15.52918,15.21421,15.58227,15.77073,16.08805,16.60860,17.17514,17.76575,18.36455,19.14570,19.82106,20.90113,21.86283,22.33501,23.62940,24.76403,25.38180,25.55842,25.56286,25.51030,25.11556,24.78426,24.51744,24.22300,23.90071,24.12918,23.98149,23.78653,23.43234,23.21628,22.56951,21.95286,21.11744,20.79642,21.21215,23.05572,22.15698,22.19782,22.27767,23.56197,23.37779
