year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Williamtown 33_11kV,01MAY2020,MW,1.95518,1.89044,1.91633,1.87769,1.81818,1.71338,1.67663,1.67235,1.61730,1.62827,1.60452,1.56880,1.55286,1.56434,1.54598,1.53386,1.58248,1.62599,1.63929,1.64403,1.70513,1.71920,1.76506,1.82498,1.96240,2.08025,2.16220,2.15113,2.32087,2.41591,2.38574,2.31779,2.28537,2.34633,2.34757,2.26218,2.20269,2.08257,2.09786,2.09746,2.00714,1.89604,1.85957,1.99841,1.89744,1.88928,1.78583,1.89773,1.88134,1.55421,1.45766,1.62046,1.64755,1.63006,1.77657,1.84740,1.79700,1.84747,1.90770,1.91680,1.94067,1.98296,2.11541,2.24036,2.31487,2.42446,2.45794,2.50033,2.50080,2.66997,2.63616,2.60900,2.69104,2.69384,2.69664,2.61231,2.59234,2.49022,2.50691,2.41309,2.30758,2.28158,2.22294,2.23602,2.20754,2.15943,2.20026,2.14733,2.21873,2.18474,2.13331,2.04371,2.18918,2.15430,2.11792,2.07611
2021,Williamtown 33_11kV,02MAY2020,MW,2.07773,2.03574,1.97012,1.90443,1.85867,1.79221,1.71326,1.70002,1.69843,1.72713,1.68552,1.61122,1.60239,1.60996,1.62109,1.63277,1.58743,1.56076,1.54932,1.55599,1.59029,1.56477,1.61722,1.58912,1.66386,1.72036,1.92201,2.08557,2.00540,2.02541,1.97299,1.94238,2.00406,2.02774,2.02391,2.02815,1.95982,1.87135,1.75180,1.73422,1.68143,1.61285,1.71249,1.56965,1.42367,1.35943,1.34615,1.38014,1.33557,1.23219,1.22497,1.19766,1.22366,1.21531,1.16032,1.10860,1.12170,1.14803,1.18450,1.30489,1.37983,1.50265,1.57251,1.59168,1.67150,1.81514,1.89680,2.05620,2.18377,2.31723,2.46035,2.48933,2.51082,2.46193,2.48677,2.40252,2.34929,2.30261,2.28391,2.23861,2.15440,2.09395,2.05951,2.00184,1.98458,1.98973,2.11579,2.09781,2.04776,1.96057,1.95673,1.86043,1.99287,1.95080,1.87765,1.90864
2021,Williamtown 33_11kV,03MAY2020,MW,1.86982,1.80007,1.80772,1.78508,1.70749,1.68155,1.63667,1.59530,1.62140,1.61329,1.53735,1.51029,1.53641,1.55539,1.51543,1.51653,1.54238,1.56849,1.56932,1.56596,1.60782,1.60450,1.58449,1.60071,1.62863,1.61235,1.62443,1.65287,1.62829,1.62011,1.60538,1.59023,1.60864,1.63056,1.58827,1.53953,1.47503,1.42516,1.40304,1.39779,1.28813,1.27709,1.18658,1.08804,0.99035,0.95912,0.95808,0.95215,0.98615,0.98303,1.03130,0.98849,1.00220,1.00777,1.02323,1.02742,1.04120,1.13737,1.19339,1.30898,1.41322,1.59707,1.72178,1.82474,1.83439,1.87562,2.03565,2.13088,2.28871,2.35838,2.46099,2.53153,2.58286,2.51340,2.45549,2.37294,2.27737,2.31640,2.29524,2.29258,2.21651,2.18026,2.15234,2.09538,2.07651,2.06875,2.13850,2.10086,2.04493,1.95084,1.96513,1.89659,2.06791,2.02506,1.90172,1.83348
2021,Williamtown 33_11kV,04MAY2020,MW,1.84712,1.74677,1.74375,1.71647,1.66195,1.57167,1.55304,1.58940,1.57859,1.52698,1.50002,1.48155,1.49652,1.50403,1.50052,1.49313,1.58757,1.59348,1.63926,1.64282,1.79058,1.81014,1.90265,4.59896,6.44788,6.62917,6.71882,6.89047,7.12817,7.52168,7.60184,3.41084,2.35790,2.29178,2.20804,2.11766,2.15853,2.01521,1.96698,1.96015,1.88166,1.74951,1.71951,1.63301,1.66685,1.62410,1.59254,1.63308,1.57638,1.60251,1.67333,1.58266,1.55233,1.58804,1.59632,1.64016,1.61147,1.75865,1.85480,1.90504,1.98188,2.03219,2.04817,2.07689,2.23371,2.35949,2.41962,2.47115,2.58350,2.79890,2.95115,2.98404,2.96463,2.91607,2.88512,2.78351,2.70112,2.59500,2.51919,2.45970,2.44954,2.37634,2.32748,2.31566,2.30252,2.22078,2.21780,2.03933,2.12602,2.07274,2.00766,1.93064,2.06731,2.09306,2.04251,1.96578
2021,Williamtown 33_11kV,05MAY2020,MW,1.98010,1.86872,1.85966,1.82984,1.76725,1.67369,1.62214,1.63676,1.60517,1.57863,1.53070,1.50360,1.46722,1.47409,1.51347,1.49228,1.55841,1.56928,1.60652,1.64974,1.68465,1.69419,1.74426,1.83603,2.01491,2.17291,2.21026,2.33244,2.33600,2.41449,2.61386,2.51208,2.42345,2.32952,2.27486,2.28325,2.49169,2.44835,2.45642,2.59757,2.56548,1.60440,1.04920,0.99095,0.95493,0.81362,0.76578,0.75913,0.76317,0.82228,0.83785,0.79172,0.79362,0.74793,0.88391,1.94532,1.80469,1.88644,1.78642,1.81573,1.99578,2.39286,2.49330,2.56087,2.64880,2.61802,2.72341,2.77862,2.89658,3.05349,3.14963,3.12384,3.16672,3.08155,3.04123,3.00566,2.91828,2.89453,2.86621,2.79046,2.75610,2.70640,2.66474,2.60596,2.54917,2.47220,2.29035,2.11055,2.23791,2.15415,2.07427,2.05351,2.15943,2.13725,2.12056,2.07943
2021,Williamtown 33_11kV,06MAY2020,MW,2.00262,1.92323,1.81711,1.80015,1.74104,1.69409,1.64224,1.62965,1.58583,1.57301,1.49702,1.47143,1.48227,1.48285,1.45586,1.44787,1.50295,1.51871,1.54233,1.57494,1.63486,1.66564,1.71971,1.80289,1.94439,2.03325,2.10288,2.28035,2.18532,2.35757,2.43015,2.42769,2.44060,2.48290,2.40128,2.38095,2.36466,2.35602,2.40399,2.38013,2.30835,2.31184,2.23625,2.13958,1.94947,1.76711,1.61783,1.75713,1.69024,1.69444,1.71864,1.72399,1.69639,1.70484,1.72725,1.75616,1.72848,1.80665,1.89384,1.93431,2.05143,2.10874,2.17373,2.24283,2.32132,2.59372,2.75258,2.76426,2.84721,2.98042,3.12707,3.04096,3.04175,3.07235,3.07870,3.04160,2.89962,2.89069,2.85006,2.84345,2.75753,2.68113,2.58027,2.58105,2.55850,2.58037,2.42316,2.21467,2.27328,2.23117,2.17428,2.13418,2.24818,2.22665,2.14585,1.97831
2021,Williamtown 33_11kV,07MAY2020,MW,1.96743,1.95193,1.90774,1.85092,1.73641,1.70279,1.70509,1.65606,1.60728,1.56787,1.56630,1.47156,1.54578,1.52009,1.47554,1.49559,1.56248,1.61826,1.63038,1.63891,1.70522,1.78442,1.85007,1.97341,2.11391,2.18078,2.19697,2.27020,2.26266,2.38610,2.62246,2.60834,2.67571,2.61190,2.63769,2.63021,2.53836,2.50864,2.53575,2.52343,2.51279,2.42802,2.31858,2.21840,2.14034,2.08866,2.07517,2.19187,2.28096,2.20684,2.17926,2.15697,2.08534,2.15339,2.13664,2.24368,2.18000,2.10694,2.31326,2.07431,2.15350,2.30029,2.29824,2.21212,2.25575,2.32167,2.46227,2.59005,2.73587,2.92618,3.10793,3.07101,3.03840,2.98356,2.95892,2.89995,2.82421,2.79591,2.83205,2.78089,2.76829,2.68470,2.60685,2.56784,2.59745,2.47856,2.34487,2.24754,2.32292,2.21214,2.03934,2.05106,2.12148,2.02379,1.99499,1.99280
2021,Williamtown 33_11kV,08MAY2020,MW,2.00688,1.88350,1.90178,1.82203,1.77741,1.70701,1.68157,1.63477,1.64193,1.61759,1.62267,1.58868,1.62658,1.62877,1.60309,1.57242,1.62320,1.57021,1.63200,1.65676,1.70152,1.73795,1.79997,1.85527,1.99992,2.13520,2.13385,2.13842,2.08479,2.08805,2.14437,2.46148,2.46091,2.40726,2.31770,2.24997,2.18792,2.09641,2.06527,2.08052,2.04977,1.88859,1.93421,1.90641,1.92092,1.83061,1.87626,1.80413,1.86070,1.83502,1.80560,1.84408,1.86701,1.81902,1.89175,1.98233,1.95742,2.01140,2.10676,2.11839,2.12089,2.24751,2.34303,2.32978,2.32488,5.03914,6.94681,6.90841,3.91442,2.39893,2.36308,2.29844,2.25643,2.21050,2.21826,2.18860,2.18580,2.14892,2.12405,2.07939,2.02359,2.02292,1.95129,1.96877,1.96647,1.90426,1.99307,1.92304,2.07686,2.00934,2.00697,1.88604,2.03133,2.02871,2.00697,2.03696
2021,Williamtown 33_11kV,09MAY2020,MW,1.99000,1.96863,1.88557,1.89902,1.80684,1.71510,1.69886,1.64771,1.63307,1.59011,1.62106,1.53023,1.53896,1.53552,1.52706,1.51108,1.54156,1.55111,1.55257,1.56829,1.59694,1.58798,1.59886,1.73920,1.77603,1.81266,1.78079,1.84829,1.84422,1.90313,1.94977,1.99155,2.02137,1.97621,1.77656,1.67791,1.64927,1.57575,1.53508,1.63171,1.78883,1.85195,2.04050,1.91707,1.83156,1.59538,1.54569,1.68982,1.61862,1.29915,1.32775,1.69636,1.67956,1.78712,1.79604,1.79681,1.75963,1.85087,1.89700,1.89386,1.82118,1.89513,1.86900,1.94759,1.94685,1.92457,1.96151,2.00518,2.06331,2.26704,2.36953,2.39697,2.37012,2.33462,2.33182,2.34230,2.29736,2.23324,2.19882,2.11590,2.14862,2.08979,2.08999,2.05296,2.02512,1.97490,2.16997,2.10346,2.08423,2.03082,1.96396,1.87795,2.00204,2.00928,1.97816,1.95779
2021,Williamtown 33_11kV,10MAY2020,MW,1.90248,1.81386,1.80857,1.78172,1.76357,1.67547,1.64548,1.57745,1.63937,1.54675,1.54896,1.53323,1.51264,1.56732,1.53068,1.52737,1.51233,1.52553,1.48353,1.48993,1.56449,1.48382,1.51544,1.51465,1.59898,1.61333,1.60978,1.62109,1.60778,1.59954,1.64329,1.71259,1.79502,1.75156,1.63587,1.60090,1.53066,1.56302,1.47085,1.38547,1.32425,1.31122,1.18710,1.11731,1.10369,1.11070,1.05607,1.07420,1.03857,1.03838,1.04116,1.08128,1.01578,1.01069,1.01159,1.02671,1.10256,1.10384,1.16420,1.23972,1.32263,1.39789,1.45635,1.59657,1.70985,1.86612,2.00538,2.05493,2.14626,2.34431,2.45094,2.53185,2.53822,2.52194,2.46154,2.47983,2.44214,2.43631,2.36573,2.35530,2.34571,2.25050,2.28401,2.23939,2.22478,2.15259,2.19909,2.13342,2.10875,2.06066,2.00950,1.91336,1.97484,1.94574,1.95243,1.91528
