year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Woy Woy 66_11kV,01MAY2020,MW,10.92982,11.33807,11.50508,10.28034,9.40818,8.61025,9.29684,9.20406,8.03500,7.40407,6.90305,6.53191,6.14223,6.10511,5.77109,5.77109,5.58553,5.39996,5.39996,5.67831,5.75254,6.06800,6.06800,6.34635,6.73604,7.19995,7.79376,8.20201,8.09067,7.97933,7.96077,7.94221,8.01644,7.79376,7.71953,7.58964,7.32985,7.29273,7.03294,6.88449,6.68037,6.49480,6.32779,6.16078,6.17934,5.86388,5.84532,5.80821,6.27212,6.01233,6.23501,6.81026,7.16284,6.84738,6.68037,6.38346,6.40202,6.47624,6.47624,6.60614,6.84738,7.03294,7.14428,7.64531,7.99788,8.72159,9.09272,9.70509,10.02055,10.42879,11.33807,11.95043,12.08033,12.17311,12.17311,11.87621,11.43085,11.22673,11.22673,10.89271,10.98549,11.04116,10.96693,10.63292,10.44735,10.20612,9.76076,9.22262,8.94427,9.27829,10.87415,10.50302,10.54013,11.09683,11.83909,12.22878
2021,Woy Woy 66_11kV,02MAY2020,MW,11.50508,11.87621,12.09889,10.87415,9.98344,9.20406,10.07622,9.38963,8.59169,7.84943,7.25562,6.68037,6.43913,6.23501,6.17934,5.90099,5.90099,5.56697,5.56697,5.56697,5.67831,5.90099,5.90099,5.95666,6.34635,6.56903,6.75459,7.07005,6.97727,6.95871,7.25562,7.25562,7.34840,7.25562,7.25562,7.25562,7.25562,6.95871,6.92160,6.58758,6.45769,6.23501,5.99377,6.04944,5.95666,5.95666,5.93810,5.88243,5.88243,5.78965,5.54842,5.54842,5.54842,5.54842,5.54842,5.54842,5.84532,5.90099,5.90099,6.21645,6.42057,6.69892,6.92160,7.27418,7.64531,7.94221,8.48035,9.20406,9.61230,10.24323,10.98549,11.48652,11.80198,11.52363,11.41229,11.11539,10.78137,10.48446,10.15045,9.96488,10.11333,10.02055,9.89065,9.70509,9.70509,9.57519,9.11128,8.72159,8.62881,8.99994,10.59580,10.20612,10.29890,11.02260,11.76487,11.96899
2021,Woy Woy 66_11kV,03MAY2020,MW,11.56074,12.09889,12.17311,11.04116,10.26178,9.44530,9.94632,9.72364,8.88860,8.01644,7.42263,6.84738,6.64325,6.30923,5.82676,5.73398,5.73398,5.73398,5.73398,5.73398,5.73398,5.90099,6.06800,6.06800,6.14223,6.51336,6.75459,7.07005,6.82882,6.94016,7.10717,7.16284,7.45974,7.45974,7.45974,7.45974,7.21851,7.14428,7.10717,6.84738,6.84738,6.51336,6.19790,6.17934,5.93810,5.86388,5.64120,5.52986,5.69687,5.88243,5.56697,5.71542,5.56697,5.75254,5.82676,5.82676,5.82676,5.82676,5.90099,6.06800,6.32779,6.51336,6.75459,6.88449,7.27418,8.03500,8.16489,8.77726,9.27829,9.96488,10.91126,11.22673,11.31951,11.22673,11.22673,11.20817,10.85560,10.54013,10.39168,9.94632,10.13189,10.31745,10.24323,10.20612,9.96488,9.55664,9.03705,8.42468,8.09067,8.68448,10.02055,9.79787,10.07622,10.70714,11.28240,11.63497
2021,Woy Woy 66_11kV,04MAY2020,MW,11.41229,11.72775,11.96899,10.98549,10.31745,9.29684,10.07622,9.55664,8.77726,7.86799,7.34840,6.95871,6.43913,6.40202,6.19790,6.06800,6.06800,6.06800,6.06800,6.06800,6.06800,6.25357,6.45769,6.79171,7.19995,7.57108,8.14634,8.72159,8.36901,8.46180,8.49891,8.64736,8.85149,8.61025,8.55458,8.22056,8.09067,7.79376,7.45974,7.40407,6.88449,6.69892,6.36490,6.14223,6.12367,5.84532,5.78965,5.86388,5.80821,6.01233,6.03089,5.91955,5.91955,6.01233,6.27212,6.27212,6.27212,6.21645,6.27212,6.27212,6.45769,6.56903,6.86593,7.23706,7.53397,8.23912,8.46180,9.31540,9.85354,10.55869,11.50508,11.98755,12.09889,12.00610,11.69064,11.37518,11.09683,10.63292,10.61436,10.28034,10.50302,10.16900,10.03911,9.85354,9.59375,9.42674,8.85149,8.53602,8.20201,8.48035,9.83498,9.59375,9.77931,10.35457,11.07827,11.50508
2021,Woy Woy 66_11kV,05MAY2020,MW,11.02260,11.22673,11.54219,10.52158,9.89065,9.09272,9.68653,9.18550,8.55458,7.73809,7.19995,6.55047,6.29068,6.03089,6.03089,5.84532,5.65975,5.65975,5.65975,5.65975,6.03089,6.03089,6.03089,6.34635,6.84738,7.07005,7.42263,8.01644,7.70098,7.77520,7.88654,8.20201,8.46180,8.81437,8.92571,9.12983,9.46385,9.61230,9.38963,9.38963,9.53808,9.31540,8.90716,8.46180,8.23912,8.22056,8.79582,8.64736,8.46180,8.05355,7.47830,7.71953,6.94016,6.55047,6.27212,6.36490,6.51336,6.34635,6.29068,6.49480,6.66181,6.88449,7.10717,7.47830,7.68242,7.81232,8.36901,8.79582,9.03705,9.85354,10.65147,10.92982,11.17106,11.18961,11.04116,10.87415,10.54013,10.18756,9.83498,9.48241,9.72364,9.48241,9.53808,9.48241,9.12983,8.75870,8.46180,8.14634,7.73809,8.14634,9.70509,9.46385,9.74220,10.15045,10.79993,11.22673
2021,Woy Woy 66_11kV,06MAY2020,MW,10.74426,11.04116,11.22673,10.05766,9.37107,8.66592,9.53808,8.96282,8.03500,7.47830,7.07005,6.64325,6.21645,5.86388,5.56697,5.54842,5.54842,5.54842,5.69687,5.90099,6.16078,6.23501,6.23501,6.53191,6.81026,7.51541,7.73809,8.29479,7.96077,7.77520,7.94221,7.88654,7.73809,7.64531,7.45974,7.38552,7.10717,6.79171,6.43913,6.16078,6.04944,5.93810,5.78965,5.52986,5.41852,5.36285,5.36285,5.36285,5.36285,5.36285,5.36285,5.36285,5.10306,5.10306,5.38141,5.45563,5.45563,5.49275,5.69687,5.69687,5.80821,6.06800,6.58758,6.68037,7.01438,7.38552,7.57108,8.10922,8.44324,8.99994,9.76076,10.15045,10.18756,10.41024,10.31745,10.00199,9.68653,9.44530,9.16695,8.96282,9.05561,9.03705,8.98138,8.98138,8.79582,8.62881,8.35046,7.96077,7.68242,7.99788,9.63086,9.48241,9.66797,10.16900,10.83704,11.33807
2021,Woy Woy 66_11kV,07MAY2020,MW,10.85560,11.18961,11.24528,10.29890,9.63086,8.79582,9.40818,9.16695,8.42468,7.51541,7.05150,6.58758,6.38346,6.30923,5.95666,5.71542,5.71542,5.71542,5.75254,5.99377,5.82676,5.99377,6.12367,6.51336,6.82882,7.25562,7.64531,8.23912,7.83087,7.70098,7.70098,7.96077,7.75665,7.88654,8.12778,7.99788,8.01644,7.84943,7.83087,7.66386,7.40407,7.14428,7.14428,6.99583,6.81026,6.81026,6.49480,6.49480,6.43913,6.17934,6.12367,6.30923,5.91955,5.64120,5.64120,5.91955,6.40202,5.84532,5.86388,6.12367,6.34635,6.66181,6.84738,7.03294,7.25562,7.47830,8.46180,9.22262,9.66797,10.18756,10.85560,10.96693,11.18961,11.26384,10.94838,10.65147,10.35457,10.18756,9.96488,9.66797,9.77931,9.92777,9.74220,9.53808,9.38963,9.37107,8.87004,8.62881,8.48035,8.81437,10.67003,10.44735,10.67003,11.11539,12.09889,12.43290
2021,Woy Woy 66_11kV,08MAY2020,MW,12.00610,12.43290,12.41435,11.24528,10.44735,9.51952,10.33601,9.85354,9.16695,8.23912,7.60819,7.07005,6.75459,6.34635,6.30923,6.30923,5.99377,6.21645,5.99377,6.10511,6.34635,6.58758,6.68037,6.82882,7.31129,7.73809,8.03500,8.49891,8.12778,8.10922,8.10922,8.10922,8.10922,7.62675,7.27418,6.97727,6.88449,6.62470,6.17934,5.95666,5.95666,5.71542,5.67831,5.60409,5.43708,5.43708,5.43708,5.43708,5.43708,5.80821,5.80821,5.82676,5.95666,5.95666,5.95666,5.95666,5.97522,6.04944,6.25357,6.40202,6.40202,6.51336,6.75459,7.05150,7.44119,7.51541,7.84943,7.84943,7.90510,8.31334,8.96282,9.25973,9.25973,9.25973,8.94427,8.92571,8.61025,8.35046,8.01644,7.86799,7.94221,8.01644,7.77520,7.68242,7.51541,7.47830,7.29273,6.92160,6.73604,7.32985,8.68448,8.59169,8.87004,9.51952,10.35457,10.78137
2021,Woy Woy 66_11kV,09MAY2020,MW,10.11333,10.37312,10.57725,9.44530,8.90716,8.03500,8.79582,8.46180,7.64531,7.05150,6.60614,6.06800,5.78965,5.60409,5.32574,5.19584,5.39996,5.39996,5.08450,5.06594,5.06594,5.06594,5.10306,5.30718,5.65975,5.77109,6.04944,6.43913,6.27212,6.23501,6.34635,6.53191,6.71748,6.60614,6.30923,6.30923,6.51336,6.30923,6.29068,6.29068,5.86388,5.77109,5.82676,5.71542,6.04944,6.71748,5.52986,6.34635,6.17934,5.36285,5.36285,6.17934,6.27212,5.25151,6.14223,6.53191,6.53191,6.53191,6.53191,6.68037,6.84738,6.84738,6.90305,7.18139,7.18139,7.18139,7.27418,7.68242,8.01644,8.48035,8.92571,9.25973,9.31540,9.05561,9.05561,8.83293,8.42468,8.25767,8.09067,7.86799,7.96077,7.88654,7.73809,7.79376,7.57108,7.55253,7.45974,7.23706,7.03294,7.53397,9.16695,8.85149,9.16695,9.83498,10.55869,10.83704
2021,Woy Woy 66_11kV,10MAY2020,MW,10.33601,10.79993,10.92982,9.98344,9.31540,8.35046,9.09272,8.59169,7.97933,7.27418,6.88449,6.32779,6.14223,5.77109,5.62264,5.62264,5.62264,5.62264,5.43708,5.25151,5.38141,5.58553,5.58553,5.58553,5.71542,6.23501,6.32779,6.68037,6.60614,6.55047,6.69892,6.88449,6.92160,7.19995,7.19995,7.19995,7.19995,7.19995,6.77315,6.55047,6.55047,6.55047,6.38346,6.10511,5.91955,5.91955,5.84532,5.65975,5.91955,5.67831,5.67831,5.67831,5.67831,5.65975,5.41852,5.41852,5.52986,5.77109,5.77109,5.77109,6.14223,6.34635,6.73604,6.90305,7.45974,7.88654,8.68448,9.12983,9.48241,10.13189,10.96693,11.46796,11.59786,11.67208,11.59786,11.28240,11.26384,10.96693,10.65147,10.33601,10.63292,10.57725,10.48446,10.35457,10.03911,9.83498,9.42674,8.90716,8.51747,8.79582,10.29890,10.11333,10.20612,10.72570,11.20817,11.82054
2021,Woy Woy 66_11kV,11MAY2020,MW,11.41229,11.91332,12.17311,11.20817,10.54013,9.64942,10.35457,10.02055,8.99994,8.23912,7.70098,7.19995,6.82882,6.49480,6.25357,6.03089,6.30923,6.36490,6.21645,6.03089,6.36490,6.36490,6.64325,7.03294,7.31129,7.90510,8.51747,9.33396,8.96282,8.94427,9.14839,9.35251,9.40818,9.22262,9.07416,8.92571,8.53602,8.07211,8.01644,7.45974,7.25562,7.07005,6.88449,6.58758,6.49480,6.16078,6.16078,6.16078,6.16078,6.16078,6.19790,6.21645,6.21645,5.91955,5.91955,5.91955,5.91955,5.91955,6.27212,6.68037,6.68037,6.86593,7.23706,7.47830,7.90510,8.38757,9.03705,9.55664,10.26178,11.44941,12.19167,12.56280,12.74837,12.82259,12.72981,12.54424,12.24734,11.80198,11.39374,11.09683,11.22673,11.13394,11.05972,10.72570,10.67003,10.57725,10.02055,9.37107,9.22262,9.37107,10.72570,10.44735,10.57725,11.13394,11.76487,12.24734
2021,Woy Woy 66_11kV,12MAY2020,MW,11.82054,11.98755,12.06177,11.05972,10.37312,9.31540,10.00199,9.63086,8.83293,7.97933,7.47830,7.19995,6.77315,6.58758,6.32779,6.25357,6.25357,6.25357,6.25357,6.25357,6.40202,6.62470,7.03294,7.36696,7.77520,8.18345,8.83293,9.55664,9.46385,9.63086,9.64942,9.53808,9.55664,9.55664,9.42674,9.01849,8.27623,8.09067,7.71953,7.36696,7.18139,6.81026,6.60614,6.29068,6.14223,6.36490,5.86388,6.08656,5.78965,6.32779,6.27212,6.43913,6.03089,6.01233,6.03089,6.34635,6.23501,6.19790,6.55047,6.81026,6.77315,6.92160,6.97727,7.36696,7.81232,8.31334,8.64736,9.31540,9.87210,10.92982,11.59786,12.02466,12.19167,12.11744,11.85765,11.41229,11.07827,10.70714,10.52158,10.26178,10.33601,10.28034,10.13189,9.90921,9.70509,9.44530,8.98138,8.55458,8.22056,8.57314,10.18756,9.89065,10.13189,10.65147,11.26384,11.44941
2021,Woy Woy 66_11kV,13MAY2020,MW,11.17106,11.43085,11.85765,10.83704,10.03911,9.20406,9.89065,9.42674,8.42468,7.73809,7.14428,6.68037,6.42057,6.42057,6.32779,6.03089,5.88243,6.10511,5.75254,6.04944,6.12367,6.14223,6.51336,6.71748,7.34840,7.83087,8.18345,8.92571,8.49891,8.66592,8.75870,8.88860,9.03705,9.09272,9.09272,8.66592,8.81437,8.27623,7.64531,7.34840,6.97727,6.88449,6.30923,6.47624,6.06800,6.84738,6.62470,5.62264,5.34429,5.47419,5.80821,6.30923,6.47624,6.73604,6.19790,5.75254,5.97522,5.84532,6.23501,6.38346,6.84738,6.86593,7.03294,7.60819,8.14634,8.46180,9.03705,9.90921,10.24323,10.78137,11.44941,11.83909,12.09889,11.83909,11.70920,11.46796,11.15250,10.70714,10.85560,10.59580,10.70714,10.54013,10.41024,10.20612,10.07622,9.87210,9.35251,9.07416,8.57314,8.77726,10.59580,10.28034,10.39168,10.85560,11.37518,11.85765
2021,Woy Woy 66_11kV,14MAY2020,MW,11.24528,11.52363,11.85765,10.81848,10.11333,9.24117,9.85354,9.61230,8.74015,7.94221,7.34840,6.71748,6.45769,6.34635,6.12367,5.82676,5.78965,5.78965,5.78965,6.06800,6.10511,6.17934,6.55047,6.82882,7.32985,7.70098,8.29479,8.72159,8.48035,8.99994,9.42674,9.66797,9.85354,9.89065,9.50097,9.50097,9.59375,9.14839,8.09067,7.29273,7.05150,7.58964,7.90510,8.36901,8.35046,8.27623,8.53602,9.11128,8.94427,9.42674,10.29890,10.42879,10.35457,10.26178,10.18756,10.11333,9.76076,10.29890,10.59580,10.59580,10.52158,10.11333,9.74220,9.89065,10.48446,11.15250,12.15456,12.82259,13.24939,13.76898,14.17722,14.32567,14.21433,14.01021,13.84320,13.34218,12.87826,12.26589,12.06177,11.93188,11.78342,11.67208,11.39374,11.35662,10.98549,10.37312,9.77931,9.29684,8.88860,9.46385,10.87415,10.54013,10.83704,11.35662,11.78342,12.15456
2021,Woy Woy 66_11kV,15MAY2020,MW,11.65353,12.02466,12.02466,11.04116,10.37312,9.38963,10.02055,9.74220,8.74015,7.99788,7.53397,7.07005,6.55047,6.43913,6.29068,6.10511,5.90099,6.21645,6.21645,6.21645,6.34635,6.58758,6.71748,6.94016,7.38552,8.14634,8.61025,8.96282,8.85149,8.90716,9.12983,9.27829,9.44530,8.96282,8.87004,9.05561,9.59375,9.46385,10.00199,9.90921,9.55664,9.64942,9.55664,8.48035,8.59169,8.29479,8.07211,7.44119,7.31129,8.05355,8.61025,8.90716,8.33190,9.09272,9.37107,9.50097,9.11128,8.53602,8.18345,8.18345,8.74015,8.90716,8.90716,9.33396,9.79787,9.83498,10.54013,11.59786,11.98755,12.54424,13.04527,13.30506,13.32362,13.24939,12.98960,12.69270,12.52569,12.15456,11.85765,11.46796,11.54219,11.44941,11.30095,11.13394,10.87415,10.54013,10.16900,9.57519,9.33396,9.59375,11.05972,10.63292,11.00405,11.48652,12.06177,12.34012
