year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Wyong 132_11kV,01MAY2020,MW,15.37925,15.55560,15.69843,14.54688,13.70599,12.58964,13.06182,12.55495,11.92386,11.33638,10.80972,10.50416,10.45039,10.08866,9.86962,9.91220,10.09877,10.22178,10.28056,10.44638,11.13495,11.69309,12.08238,12.73916,14.12821,14.72335,15.50854,15.68016,15.50992,15.79437,15.66474,15.59079,15.44115,15.13396,14.80587,14.44302,13.69324,13.38416,13.57849,13.27947,12.13723,11.83110,11.63875,11.60419,11.14706,11.62358,12.05049,12.06484,11.98857,13.03419,13.33095,13.03656,12.65635,12.12916,11.28652,11.11623,10.36919,10.86623,10.61321,11.22769,11.88200,12.69271,12.93384,13.58575,14.09699,14.92495,15.64373,16.56313,17.30998,18.59220,20.05166,20.77489,20.82031,20.91862,20.71603,20.33007,19.94682,19.65529,19.37548,18.91747,18.65731,18.47904,18.17873,17.73262,17.51519,17.06199,16.51202,15.76265,15.38426,15.28053,16.26088,15.79813,16.04500,16.12652,16.72483,16.39171
2021,Wyong 132_11kV,02MAY2020,MW,16.05902,16.26395,16.31944,15.33145,14.53781,13.43521,13.82808,13.26388,12.59813,11.81556,11.36430,10.84165,10.53922,10.48011,10.17845,9.84677,9.68635,9.77099,9.59791,9.56815,9.88532,10.05676,10.10661,10.46420,10.97312,11.24401,11.65010,11.90283,11.60025,11.53126,11.59601,11.56479,11.81810,11.67424,11.38582,10.90238,10.78113,10.23723,9.62634,9.22347,8.81999,8.34315,8.00816,7.77475,7.51105,7.23981,7.09806,7.02937,7.09131,6.94324,7.06176,7.45711,8.49657,8.55545,8.81139,8.65515,8.94932,9.34241,9.54734,9.85996,11.06592,12.10321,12.66596,13.11209,13.84258,14.68061,15.57647,16.77701,16.40283,16.29662,17.56064,18.46575,18.28479,18.16953,17.79520,17.46025,17.58904,17.43773,17.08933,16.63307,16.53835,16.13665,15.99186,15.61828,15.44562,15.12620,14.83554,14.46158,14.06690,14.08880,14.94522,14.40174,14.80872,14.92691,15.47905,15.49010
2021,Wyong 132_11kV,03MAY2020,MW,15.45375,15.66744,15.72499,14.70939,13.92144,12.71574,13.44329,12.95711,12.12499,11.41848,10.94457,10.31152,10.19402,9.92879,9.64192,9.52482,9.54417,9.54046,9.40838,9.43481,9.48206,9.53967,9.70504,9.87400,10.24732,10.68573,10.97407,11.35660,11.12918,11.16226,11.21404,11.22461,11.00653,10.75433,10.69714,10.16208,9.71047,9.50638,8.91073,8.73802,8.18664,7.75662,7.66487,7.14859,6.83055,6.73571,6.68596,6.48161,6.55362,6.48343,6.40472,6.41800,6.28197,6.38438,6.60835,6.75279,7.77473,8.76105,9.53223,10.14706,9.61287,10.09998,10.68745,11.48670,12.20754,12.98380,13.84896,14.61214,15.62152,17.04108,18.48151,19.15320,19.11714,19.13455,18.90285,18.67247,18.14606,17.83343,17.54665,17.29546,17.12627,17.04809,16.64746,16.38100,16.17323,15.81992,15.53040,14.70101,14.24968,14.38124,15.26096,14.74119,15.20668,15.37754,16.10641,16.08236
2021,Wyong 132_11kV,04MAY2020,MW,15.98593,15.87125,16.08289,14.97968,14.36371,13.39953,14.02360,13.40146,12.75299,11.92734,11.56992,11.06292,10.70661,10.59305,10.64260,10.49290,10.60724,10.85298,10.83923,10.98279,11.67289,12.37847,12.94294,13.69286,14.98359,15.76133,16.34627,17.02224,17.09021,17.63447,17.93070,17.81614,17.88859,17.48642,16.70525,16.00623,15.14757,14.61734,13.97046,13.37365,12.76629,12.01992,11.79811,11.36213,11.19255,11.01031,11.06830,11.21508,11.07785,11.01153,10.94512,11.20214,11.42611,11.58851,11.34685,11.47868,11.33764,12.19889,12.02819,12.23156,12.67133,12.89385,13.09381,13.52540,14.23248,15.13857,16.08887,17.21972,18.21297,19.43481,20.77090,21.59423,21.33708,21.19784,20.92511,20.38965,19.82439,19.43525,19.37515,18.94577,18.73089,18.39850,18.10237,17.77353,17.45828,16.94185,16.45391,15.92929,15.34311,15.10103,16.17452,15.49602,15.61218,15.77426,16.38072,16.19312
2021,Wyong 132_11kV,05MAY2020,MW,15.87366,16.02942,15.85120,14.83826,14.03700,13.14486,13.42331,13.19205,12.48430,11.74823,11.18325,10.91148,10.68269,10.35854,10.34206,10.40275,10.37886,10.47964,10.46283,10.67653,11.26379,11.85564,12.22422,12.88799,13.81852,14.85869,15.06814,15.54127,15.21615,15.53213,16.17181,17.17393,17.31846,16.52561,17.62335,18.09598,16.54756,15.48548,14.33310,13.56160,14.63212,13.34535,12.65275,13.57956,14.32402,14.76724,15.01248,15.82832,16.25987,15.81800,15.09344,15.97264,16.88698,17.72578,17.17555,16.36301,17.15712,17.34320,16.75069,16.83557,16.47282,16.49387,16.71770,16.43949,16.01103,15.96745,16.73366,17.44641,18.31999,19.55500,20.85147,21.54654,21.60089,21.31585,21.06911,20.51603,20.15850,19.55823,19.28371,18.74213,18.57936,18.27947,18.11620,17.70076,17.29660,16.92785,16.52039,15.88437,15.39244,15.36134,16.01931,15.60753,15.71770,15.74892,16.22179,16.12771
2021,Wyong 132_11kV,06MAY2020,MW,15.71955,15.87860,16.09688,15.05944,14.21095,13.35650,13.63790,13.25592,12.57185,11.92899,11.34906,10.81282,10.66137,10.53856,10.42908,10.37583,10.48069,10.59480,10.64245,10.98758,11.38978,12.08586,12.70023,13.48657,14.93305,15.70028,15.99913,16.78775,16.58746,17.00107,17.19541,17.01283,16.87181,16.69643,15.67392,15.09195,14.27398,13.65994,13.06856,12.64434,12.48874,11.95166,11.76477,11.73637,11.79100,11.30548,11.48964,11.38066,11.23902,11.29150,11.66544,11.22170,11.20890,11.15634,10.81162,11.07256,11.09463,11.23761,11.44540,11.69725,11.84992,12.30251,12.64091,13.29164,13.59814,14.28115,15.27827,16.05544,16.57594,17.88528,19.06477,19.37805,19.97557,19.61314,19.31592,18.94912,18.47747,18.08884,17.63049,17.37343,17.31687,17.21063,17.11008,16.80659,16.62188,16.24343,15.86978,15.42182,14.95115,14.92400,15.89791,15.41058,15.50184,15.43397,16.08330,15.71273
2021,Wyong 132_11kV,07MAY2020,MW,15.58993,15.83854,15.79302,14.94135,14.20618,13.37301,13.47551,13.22616,12.64057,11.84589,11.38912,10.97042,10.78174,10.63931,10.48952,10.49574,10.45099,10.67220,10.96987,10.99129,11.71124,12.12254,12.57846,13.54695,14.82735,15.69517,16.02663,16.48472,16.21146,16.61939,17.03868,17.26837,17.54925,17.20754,17.36856,17.36307,16.67204,16.06285,15.76194,15.43418,15.31338,15.05213,14.75602,14.81951,14.28186,13.77469,12.98148,13.11667,12.79391,13.16293,13.04373,12.35439,12.59471,12.57104,11.60760,11.89568,12.14030,12.20079,12.71367,13.16619,13.15968,13.19507,13.41818,14.20714,13.98340,14.50479,15.22443,15.92626,16.67459,17.70805,18.96402,19.26668,19.47876,19.59884,19.22976,18.84179,18.22416,17.88098,17.50144,17.25419,16.90199,16.83195,16.67799,16.42419,16.27004,16.02662,15.63248,15.17922,14.84070,14.82625,15.57001,15.16964,15.38067,15.37960,15.99930,15.77303
2021,Wyong 132_11kV,08MAY2020,MW,15.52127,15.77033,15.77439,14.60140,13.75761,12.90389,13.08272,12.82436,12.25320,11.61534,11.12452,10.74883,10.55118,10.40645,10.11166,10.09601,10.30784,10.28376,10.50812,10.66323,11.27073,11.94486,12.36874,13.16814,14.62506,15.38875,15.57514,15.98134,15.69208,15.75236,15.75920,15.81102,15.69104,15.32268,14.88607,14.27528,13.53724,13.18022,12.40707,12.16194,11.73692,11.28866,10.95533,10.49416,10.21352,10.12474,9.91951,9.74152,9.66124,9.76776,9.95572,9.80700,9.94664,10.17968,10.29095,10.37491,10.67742,11.02077,11.30932,11.63402,11.76837,12.24528,12.86962,13.41390,13.79096,14.19063,14.69139,15.00077,15.10878,15.86502,16.96859,17.25683,17.35083,17.21132,17.01381,16.64032,15.86097,15.59658,15.37654,15.07801,15.07617,14.86618,14.72595,14.51393,14.34892,14.03130,13.63739,13.23821,13.09855,13.26084,14.40666,13.97204,14.26675,14.50828,15.22194,15.08927
2021,Wyong 132_11kV,09MAY2020,MW,14.78709,15.05742,15.18406,14.17240,13.36518,12.50678,12.91871,12.35212,11.65693,11.20097,10.91374,10.34017,10.06056,9.84959,9.58674,9.48824,9.41687,9.46538,9.42492,9.41069,9.68105,9.66439,10.00242,10.25783,10.93931,11.29670,11.59971,11.76026,11.27380,11.03397,11.37714,11.95393,12.89885,11.44109,11.91643,12.65341,12.92607,11.23557,9.73305,11.72505,11.75792,10.16277,8.45129,8.04569,7.58172,7.43941,10.13782,11.94421,10.51525,11.60434,11.39666,10.07032,10.08432,10.03194,10.33130,10.19577,9.99037,11.76320,12.29423,12.66928,12.80057,13.09041,13.54779,13.19526,12.67512,12.67486,13.21932,13.90637,14.45176,15.83100,16.72520,17.10015,17.14085,17.08369,16.94493,16.63735,16.25108,15.71229,15.40537,14.87198,15.02322,14.87601,14.63604,14.42706,14.35008,14.14408,13.91580,13.40126,13.10473,13.34784,14.50753,14.29875,14.25213,14.56073,15.21427,15.15551
2021,Wyong 132_11kV,10MAY2020,MW,14.98239,15.16623,15.25186,14.23583,13.42135,12.53274,13.10438,12.63401,11.81587,11.32602,10.82683,10.26537,10.05550,9.63693,9.58958,9.45480,9.36864,9.36785,9.31774,9.27745,9.42442,9.56573,9.60159,9.93131,10.33627,10.70226,10.96695,11.34488,11.05881,11.24423,11.25617,11.51783,11.75796,11.48883,11.24249,10.77233,10.47492,9.95540,9.67788,9.25779,9.03750,8.71753,8.30168,7.91386,7.49804,7.30199,7.06106,6.99042,6.68641,6.57711,6.60941,6.62619,6.61031,6.66044,6.68003,6.89200,7.16583,7.51469,7.93174,8.53706,8.98868,9.58572,10.24932,11.19674,11.90615,13.06510,14.35213,15.40099,16.21863,17.72021,18.99920,19.63684,19.80956,19.92612,19.79508,19.64419,19.43227,19.24115,18.87936,18.55270,18.60819,18.50085,18.20285,18.13019,17.65969,17.32584,16.72075,16.09825,15.42649,15.39939,16.14862,15.49841,15.67818,15.89182,16.31155,16.51846
