Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.24,6.28
01-Jul-20,12:30:00 AM,5.74,5.79
01-Jul-20,1:00:00 AM,5.05,5.12
01-Jul-20,1:30:00 AM,4.75,4.83
01-Jul-20,2:00:00 AM,4.61,4.70
01-Jul-20,2:30:00 AM,4.55,4.64
01-Jul-20,3:00:00 AM,4.54,4.63
01-Jul-20,3:30:00 AM,4.46,4.55
01-Jul-20,4:00:00 AM,4.71,4.79
01-Jul-20,4:30:00 AM,5.09,5.16
01-Jul-20,5:00:00 AM,5.63,5.69
01-Jul-20,5:30:00 AM,6.32,6.37
01-Jul-20,6:00:00 AM,6.99,7.02
01-Jul-20,6:30:00 AM,7.43,7.47
01-Jul-20,7:00:00 AM,8.06,8.10
01-Jul-20,7:30:00 AM,8.38,8.41
01-Jul-20,8:00:00 AM,7.95,7.97
01-Jul-20,8:30:00 AM,7.15,7.17
01-Jul-20,9:00:00 AM,5.81,5.83
01-Jul-20,9:30:00 AM,4.68,4.69
01-Jul-20,10:00:00 AM,3.91,3.92
01-Jul-20,10:30:00 AM,3.26,3.28
01-Jul-20,11:00:00 AM,2.85,2.86
01-Jul-20,11:30:00 AM,2.60,2.61
01-Jul-20,12:00:00 PM,2.64,2.66
01-Jul-20,12:30:00 PM,3.43,3.44
01-Jul-20,1:00:00 PM,4.06,4.07
01-Jul-20,1:30:00 PM,3.99,4.00
01-Jul-20,2:00:00 PM,4.27,4.28
01-Jul-20,2:30:00 PM,6.44,6.46
01-Jul-20,3:00:00 PM,6.78,6.80
01-Jul-20,3:30:00 PM,6.75,6.78
01-Jul-20,4:00:00 PM,7.40,7.42
01-Jul-20,4:30:00 PM,8.37,8.39
01-Jul-20,5:00:00 PM,9.30,9.31
01-Jul-20,5:30:00 PM,10.02,10.02
01-Jul-20,6:00:00 PM,10.09,10.09
01-Jul-20,6:30:00 PM,10.25,10.25
01-Jul-20,7:00:00 PM,10.29,10.29
01-Jul-20,7:30:00 PM,10.34,10.34
01-Jul-20,8:00:00 PM,10.51,10.52
01-Jul-20,8:30:00 PM,10.26,10.27
01-Jul-20,9:00:00 PM,9.69,9.70
01-Jul-20,9:30:00 PM,9.14,9.15
01-Jul-20,10:00:00 PM,9.43,9.44
01-Jul-20,10:30:00 PM,9.28,9.29
01-Jul-20,11:00:00 PM,8.39,8.41
01-Jul-20,11:30:00 PM,7.42,7.45
02-Jul-20,12:00:00 AM,6.39,6.44
02-Jul-20,12:30:00 AM,5.63,5.69
02-Jul-20,1:00:00 AM,5.25,5.32
02-Jul-20,1:30:00 AM,4.96,5.04
02-Jul-20,2:00:00 AM,4.75,4.83
02-Jul-20,2:30:00 AM,4.63,4.72
