Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.64,2.68
01-Jul-20,12:30:00 AM,2.49,2.53
01-Jul-20,1:00:00 AM,2.56,2.61
01-Jul-20,1:30:00 AM,2.44,2.47
01-Jul-20,2:00:00 AM,2.25,2.27
01-Jul-20,2:30:00 AM,2.20,2.23
01-Jul-20,3:00:00 AM,2.43,2.47
01-Jul-20,3:30:00 AM,2.36,2.40
01-Jul-20,4:00:00 AM,2.41,2.45
01-Jul-20,4:30:00 AM,2.55,2.58
01-Jul-20,5:00:00 AM,2.69,2.73
01-Jul-20,5:30:00 AM,2.76,2.79
01-Jul-20,6:00:00 AM,3.07,3.12
01-Jul-20,6:30:00 AM,3.50,3.55
01-Jul-20,7:00:00 AM,3.59,3.64
01-Jul-20,7:30:00 AM,3.28,3.34
01-Jul-20,8:00:00 AM,2.74,2.80
01-Jul-20,8:30:00 AM,2.18,2.25
01-Jul-20,9:00:00 AM,1.81,1.91
01-Jul-20,9:30:00 AM,1.55,1.72
01-Jul-20,10:00:00 AM,1.27,1.48
01-Jul-20,10:30:00 AM,0.72,0.99
01-Jul-20,11:00:00 AM,0.69,0.99
01-Jul-20,11:30:00 AM,0.70,1.03
01-Jul-20,12:00:00 PM,0.58,0.91
01-Jul-20,12:30:00 PM,0.68,0.99
01-Jul-20,1:00:00 PM,0.38,0.77
01-Jul-20,1:30:00 PM,0.53,0.86
01-Jul-20,2:00:00 PM,1.01,1.26
01-Jul-20,2:30:00 PM,1.39,1.57
01-Jul-20,3:00:00 PM,1.73,1.88
01-Jul-20,3:30:00 PM,2.19,2.30
01-Jul-20,4:00:00 PM,2.62,2.72
01-Jul-20,4:30:00 PM,3.26,3.35
01-Jul-20,5:00:00 PM,3.77,3.87
01-Jul-20,5:30:00 PM,4.29,4.39
01-Jul-20,6:00:00 PM,4.32,4.41
01-Jul-20,6:30:00 PM,4.29,4.38
01-Jul-20,7:00:00 PM,4.09,4.18
01-Jul-20,7:30:00 PM,4.01,4.09
01-Jul-20,8:00:00 PM,3.97,4.03
01-Jul-20,8:30:00 PM,3.95,4.02
01-Jul-20,9:00:00 PM,3.91,3.97
01-Jul-20,9:30:00 PM,3.85,3.91
01-Jul-20,10:00:00 PM,3.52,3.57
01-Jul-20,10:30:00 PM,3.07,3.13
01-Jul-20,11:00:00 PM,3.15,3.21
01-Jul-20,11:30:00 PM,3.09,3.15
02-Jul-20,12:00:00 AM,2.86,2.93
02-Jul-20,12:30:00 AM,2.78,2.84
02-Jul-20,1:00:00 AM,2.76,2.83
02-Jul-20,1:30:00 AM,2.35,2.39
02-Jul-20,2:00:00 AM,2.23,2.26
02-Jul-20,2:30:00 AM,2.44,2.49
02-Jul-20,3:00:00 AM,2.57,2.62
02-Jul-20,3:30:00 AM,2.41,2.44
02-Jul-20,4:00:00 AM,2.27,2.30
02-Jul-20,4:30:00 AM,2.37,2.40
02-Jul-20,5:00:00 AM,2.79,2.83
02-Jul-20,5:30:00 AM,3.14,3.21
02-Jul-20,6:00:00 AM,3.42,3.49
02-Jul-20,6:30:00 AM,3.71,3.78
02-Jul-20,7:00:00 AM,3.54,3.58
02-Jul-20,7:30:00 AM,3.00,3.04
02-Jul-20,8:00:00 AM,2.82,2.87
02-Jul-20,8:30:00 AM,2.55,2.59
02-Jul-20,9:00:00 AM,2.35,2.41
02-Jul-20,9:30:00 AM,1.98,2.11
02-Jul-20,10:00:00 AM,1.51,1.67
02-Jul-20,10:30:00 AM,1.07,1.28
02-Jul-20,11:00:00 AM,0.85,1.11
02-Jul-20,11:30:00 AM,1.00,1.24
02-Jul-20,12:00:00 PM,1.03,1.30
02-Jul-20,12:30:00 PM,0.80,1.11
02-Jul-20,1:00:00 PM,0.97,1.25
02-Jul-20,1:30:00 PM,1.21,1.44
02-Jul-20,2:00:00 PM,1.08,1.26
02-Jul-20,2:30:00 PM,1.14,1.34
02-Jul-20,3:00:00 PM,1.77,1.94
02-Jul-20,3:30:00 PM,2.28,2.41
02-Jul-20,4:00:00 PM,2.74,2.85
02-Jul-20,4:30:00 PM,3.19,3.29
02-Jul-20,5:00:00 PM,3.75,3.85
02-Jul-20,5:30:00 PM,4.27,4.39
02-Jul-20,6:00:00 PM,4.37,4.48
02-Jul-20,6:30:00 PM,4.21,4.32
02-Jul-20,7:00:00 PM,4.19,4.29
02-Jul-20,7:30:00 PM,4.06,4.15
02-Jul-20,8:00:00 PM,4.08,4.17
02-Jul-20,8:30:00 PM,4.07,4.15
02-Jul-20,9:00:00 PM,3.89,3.95
02-Jul-20,9:30:00 PM,3.54,3.60
02-Jul-20,10:00:00 PM,3.54,3.61
02-Jul-20,10:30:00 PM,3.37,3.45
02-Jul-20,11:00:00 PM,3.04,3.09
