Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.90,9.94
01-Jul-20,12:30:00 AM,8.77,8.84
01-Jul-20,1:00:00 AM,8.14,8.21
01-Jul-20,1:30:00 AM,7.50,7.58
01-Jul-20,2:00:00 AM,7.35,7.44
01-Jul-20,2:30:00 AM,7.26,7.35
01-Jul-20,3:00:00 AM,7.26,7.34
01-Jul-20,3:30:00 AM,7.22,7.29
01-Jul-20,4:00:00 AM,7.40,7.47
01-Jul-20,4:30:00 AM,7.75,7.82
01-Jul-20,5:00:00 AM,8.42,8.48
01-Jul-20,5:30:00 AM,9.31,9.36
01-Jul-20,6:00:00 AM,10.40,10.43
01-Jul-20,6:30:00 AM,12.03,12.05
01-Jul-20,7:00:00 AM,13.79,13.79
01-Jul-20,7:30:00 AM,13.92,13.92
01-Jul-20,8:00:00 AM,13.28,13.29
01-Jul-20,8:30:00 AM,11.58,11.60
01-Jul-20,9:00:00 AM,9.76,9.78
01-Jul-20,9:30:00 AM,8.42,8.45
01-Jul-20,10:00:00 AM,7.37,7.42
01-Jul-20,10:30:00 AM,7.28,7.34
01-Jul-20,11:00:00 AM,6.78,6.85
01-Jul-20,11:30:00 AM,6.50,6.55
01-Jul-20,12:00:00 PM,7.01,7.05
01-Jul-20,12:30:00 PM,7.04,7.11
01-Jul-20,1:00:00 PM,6.00,6.07
01-Jul-20,1:30:00 PM,5.93,6.01
01-Jul-20,2:00:00 PM,7.21,7.25
01-Jul-20,2:30:00 PM,8.88,8.91
01-Jul-20,3:00:00 PM,9.85,9.86
01-Jul-20,3:30:00 PM,10.99,10.99
01-Jul-20,4:00:00 PM,12.53,12.54
01-Jul-20,4:30:00 PM,14.13,14.13
01-Jul-20,5:00:00 PM,15.84,15.84
01-Jul-20,5:30:00 PM,17.60,17.60
01-Jul-20,6:00:00 PM,17.72,17.73
01-Jul-20,6:30:00 PM,17.55,17.55
01-Jul-20,7:00:00 PM,16.70,16.70
01-Jul-20,7:30:00 PM,15.86,15.86
01-Jul-20,8:00:00 PM,15.82,15.82
01-Jul-20,8:30:00 PM,14.83,14.83
01-Jul-20,9:00:00 PM,14.16,14.17
01-Jul-20,9:30:00 PM,13.55,13.56
01-Jul-20,10:00:00 PM,13.40,13.42
01-Jul-20,10:30:00 PM,14.81,14.82
01-Jul-20,11:00:00 PM,13.33,13.35
01-Jul-20,11:30:00 PM,11.33,11.36
02-Jul-20,12:00:00 AM,9.72,9.76
02-Jul-20,12:30:00 AM,8.69,8.76
02-Jul-20,1:00:00 AM,8.20,8.26
02-Jul-20,1:30:00 AM,7.74,7.82
02-Jul-20,2:00:00 AM,7.46,7.53
02-Jul-20,2:30:00 AM,7.41,7.50
02-Jul-20,3:00:00 AM,7.36,7.44
02-Jul-20,3:30:00 AM,7.32,7.42
02-Jul-20,4:00:00 AM,7.49,7.57
02-Jul-20,4:30:00 AM,7.82,7.88
02-Jul-20,5:00:00 AM,8.64,8.69
02-Jul-20,5:30:00 AM,9.55,9.60
02-Jul-20,6:00:00 AM,10.79,10.82
02-Jul-20,6:30:00 AM,12.82,12.83
02-Jul-20,7:00:00 AM,14.69,14.69
02-Jul-20,7:30:00 AM,14.91,14.92
02-Jul-20,8:00:00 AM,13.85,13.86
02-Jul-20,8:30:00 AM,12.29,12.31
02-Jul-20,9:00:00 AM,10.37,10.40
02-Jul-20,9:30:00 AM,8.61,8.64
02-Jul-20,10:00:00 AM,7.41,7.45
02-Jul-20,10:30:00 AM,6.29,6.36
02-Jul-20,11:00:00 AM,5.70,5.85
02-Jul-20,11:30:00 AM,6.25,6.35
02-Jul-20,12:00:00 PM,6.08,6.19
02-Jul-20,12:30:00 PM,7.01,7.06
02-Jul-20,1:00:00 PM,6.67,6.74
02-Jul-20,1:30:00 PM,7.91,7.95
02-Jul-20,2:00:00 PM,7.21,7.30
02-Jul-20,2:30:00 PM,8.17,8.21
02-Jul-20,3:00:00 PM,9.47,9.48
02-Jul-20,3:30:00 PM,10.97,10.98
02-Jul-20,4:00:00 PM,12.24,12.24
02-Jul-20,4:30:00 PM,13.87,13.88
02-Jul-20,5:00:00 PM,15.25,15.26
02-Jul-20,5:30:00 PM,16.74,16.74
02-Jul-20,6:00:00 PM,17.00,17.00
02-Jul-20,6:30:00 PM,17.03,17.03
02-Jul-20,7:00:00 PM,16.34,16.34
02-Jul-20,7:30:00 PM,15.40,15.40
02-Jul-20,8:00:00 PM,15.45,15.46
02-Jul-20,8:30:00 PM,14.56,14.56
02-Jul-20,9:00:00 PM,14.08,14.08
02-Jul-20,9:30:00 PM,13.35,13.37
02-Jul-20,10:00:00 PM,13.25,13.26
02-Jul-20,10:30:00 PM,14.71,14.73
02-Jul-20,11:00:00 PM,13.56,13.59
02-Jul-20,11:30:00 PM,11.43,11.47
03-Jul-20,12:00:00 AM,9.60,9.67
03-Jul-20,12:30:00 AM,8.57,8.64
03-Jul-20,1:00:00 AM,7.96,8.03
03-Jul-20,1:30:00 AM,7.67,7.73
03-Jul-20,2:00:00 AM,7.46,7.55
03-Jul-20,2:30:00 AM,7.28,7.37
03-Jul-20,3:00:00 AM,7.33,7.41
03-Jul-20,3:30:00 AM,7.19,7.28
03-Jul-20,4:00:00 AM,7.33,7.41
