Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.96,8.01
01-Jul-20,12:30:00 AM,7.16,7.21
01-Jul-20,1:00:00 AM,7.07,7.12
01-Jul-20,1:30:00 AM,6.40,6.46
01-Jul-20,2:00:00 AM,6.51,6.54
01-Jul-20,2:30:00 AM,6.53,6.56
01-Jul-20,3:00:00 AM,6.39,6.42
01-Jul-20,3:30:00 AM,6.60,6.63
01-Jul-20,4:00:00 AM,6.73,6.75
01-Jul-20,4:30:00 AM,7.23,7.25
01-Jul-20,5:00:00 AM,8.02,8.04
01-Jul-20,5:30:00 AM,8.99,8.99
01-Jul-20,6:00:00 AM,9.72,9.72
01-Jul-20,6:30:00 AM,10.86,10.87
01-Jul-20,7:00:00 AM,11.43,11.44
01-Jul-20,7:30:00 AM,11.31,11.31
01-Jul-20,8:00:00 AM,11.05,11.05
01-Jul-20,8:30:00 AM,9.05,9.05
01-Jul-20,9:00:00 AM,7.64,7.64
01-Jul-20,9:30:00 AM,6.58,6.58
01-Jul-20,10:00:00 AM,5.95,5.96
01-Jul-20,10:30:00 AM,5.26,5.27
01-Jul-20,11:00:00 AM,4.58,4.60
01-Jul-20,11:30:00 AM,6.04,6.06
01-Jul-20,12:00:00 PM,7.12,7.13
01-Jul-20,12:30:00 PM,7.18,7.20
01-Jul-20,1:00:00 PM,5.86,5.91
01-Jul-20,1:30:00 PM,5.96,5.99
01-Jul-20,2:00:00 PM,6.60,6.61
01-Jul-20,2:30:00 PM,8.13,8.14
01-Jul-20,3:00:00 PM,9.27,9.27
01-Jul-20,3:30:00 PM,9.41,9.41
01-Jul-20,4:00:00 PM,10.10,10.10
01-Jul-20,4:30:00 PM,11.56,11.57
01-Jul-20,5:00:00 PM,12.80,12.80
01-Jul-20,5:30:00 PM,13.34,13.34
01-Jul-20,6:00:00 PM,13.35,13.35
01-Jul-20,6:30:00 PM,13.56,13.56
01-Jul-20,7:00:00 PM,13.34,13.35
01-Jul-20,7:30:00 PM,13.23,13.23
01-Jul-20,8:00:00 PM,13.28,13.28
01-Jul-20,8:30:00 PM,12.33,12.34
01-Jul-20,9:00:00 PM,11.75,11.76
