Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.42,2.53
01-Jul-20,12:30:00 AM,2.21,2.32
01-Jul-20,1:00:00 AM,2.02,2.15
01-Jul-20,1:30:00 AM,1.84,1.98
01-Jul-20,2:00:00 AM,1.76,1.91
01-Jul-20,2:30:00 AM,1.70,1.85
01-Jul-20,3:00:00 AM,1.65,1.81
01-Jul-20,3:30:00 AM,1.67,1.82
01-Jul-20,4:00:00 AM,1.73,1.88
01-Jul-20,4:30:00 AM,1.87,2.00
01-Jul-20,5:00:00 AM,2.03,2.15
01-Jul-20,5:30:00 AM,2.32,2.41
01-Jul-20,6:00:00 AM,2.50,2.58
01-Jul-20,6:30:00 AM,3.15,3.21
01-Jul-20,7:00:00 AM,3.34,3.40
01-Jul-20,7:30:00 AM,2.81,2.87
01-Jul-20,8:00:00 AM,2.23,2.29
01-Jul-20,8:30:00 AM,1.86,1.92
01-Jul-20,9:00:00 AM,1.94,1.99
01-Jul-20,9:30:00 AM,1.72,1.77
01-Jul-20,10:00:00 AM,0.52,0.59
01-Jul-20,10:30:00 AM,-0.06,0.30
01-Jul-20,11:00:00 AM,0.54,0.65
01-Jul-20,11:30:00 AM,0.12,0.34
01-Jul-20,12:00:00 PM,-0.28,0.38
01-Jul-20,12:30:00 PM,-0.24,0.38
01-Jul-20,1:00:00 PM,0.02,0.35
01-Jul-20,1:30:00 PM,0.83,0.93
01-Jul-20,2:00:00 PM,1.08,1.17
01-Jul-20,2:30:00 PM,1.16,1.24
01-Jul-20,3:00:00 PM,1.80,1.88
01-Jul-20,3:30:00 PM,2.09,2.21
01-Jul-20,4:00:00 PM,2.10,2.22
01-Jul-20,4:30:00 PM,3.12,3.22
01-Jul-20,5:00:00 PM,3.97,4.03
01-Jul-20,5:30:00 PM,4.50,4.52
01-Jul-20,6:00:00 PM,4.59,4.62
01-Jul-20,6:30:00 PM,4.45,4.48
01-Jul-20,7:00:00 PM,4.31,4.35
01-Jul-20,7:30:00 PM,4.20,4.24
01-Jul-20,8:00:00 PM,4.25,4.29
01-Jul-20,8:30:00 PM,3.94,3.98
01-Jul-20,9:00:00 PM,3.65,3.70
01-Jul-20,9:30:00 PM,3.43,3.49
01-Jul-20,10:00:00 PM,3.36,3.43
01-Jul-20,10:30:00 PM,3.84,3.90
01-Jul-20,11:00:00 PM,3.38,3.45
01-Jul-20,11:30:00 PM,2.84,2.93
02-Jul-20,12:00:00 AM,2.39,2.48
02-Jul-20,12:30:00 AM,2.14,2.25
02-Jul-20,1:00:00 AM,2.00,2.13
02-Jul-20,1:30:00 AM,1.89,2.02
02-Jul-20,2:00:00 AM,1.80,1.94
02-Jul-20,2:30:00 AM,1.75,1.89
02-Jul-20,3:00:00 AM,1.74,1.88
02-Jul-20,3:30:00 AM,1.78,1.93
02-Jul-20,4:00:00 AM,1.78,1.92
02-Jul-20,4:30:00 AM,1.92,2.05
02-Jul-20,5:00:00 AM,2.16,2.27
02-Jul-20,5:30:00 AM,2.49,2.57
02-Jul-20,6:00:00 AM,2.89,2.96
02-Jul-20,6:30:00 AM,3.50,3.55
02-Jul-20,7:00:00 AM,3.53,3.59
02-Jul-20,7:30:00 AM,2.83,2.90
02-Jul-20,8:00:00 AM,2.26,2.33
02-Jul-20,8:30:00 AM,1.68,1.76
02-Jul-20,9:00:00 AM,1.31,1.36
02-Jul-20,9:30:00 AM,1.15,1.19
02-Jul-20,10:00:00 AM,1.82,1.86
02-Jul-20,10:30:00 AM,1.09,1.14
02-Jul-20,11:00:00 AM,-0.13,0.22
02-Jul-20,11:30:00 AM,-0.33,0.37
02-Jul-20,12:00:00 PM,-0.31,0.36
02-Jul-20,12:30:00 PM,-0.22,0.30
02-Jul-20,1:00:00 PM,0.71,0.79
02-Jul-20,1:30:00 PM,0.24,0.37
02-Jul-20,2:00:00 PM,0.82,0.89
02-Jul-20,2:30:00 PM,1.26,1.32
02-Jul-20,3:00:00 PM,1.30,1.40
02-Jul-20,3:30:00 PM,1.32,1.48
02-Jul-20,4:00:00 PM,2.14,2.26
02-Jul-20,4:30:00 PM,3.11,3.20
02-Jul-20,5:00:00 PM,3.78,3.84
02-Jul-20,5:30:00 PM,4.30,4.34
02-Jul-20,6:00:00 PM,4.25,4.29
02-Jul-20,6:30:00 PM,4.19,4.23
02-Jul-20,7:00:00 PM,4.03,4.07
02-Jul-20,7:30:00 PM,3.93,3.97
02-Jul-20,8:00:00 PM,3.98,4.03
02-Jul-20,8:30:00 PM,3.71,3.77
02-Jul-20,9:00:00 PM,3.58,3.64
02-Jul-20,9:30:00 PM,3.39,3.45
02-Jul-20,10:00:00 PM,3.31,3.38
02-Jul-20,10:30:00 PM,3.91,3.97
02-Jul-20,11:00:00 PM,3.51,3.58
02-Jul-20,11:30:00 PM,2.95,3.03
03-Jul-20,12:00:00 AM,2.44,2.55
03-Jul-20,12:30:00 AM,2.24,2.35
03-Jul-20,1:00:00 AM,2.06,2.18
03-Jul-20,1:30:00 AM,1.87,2.01
03-Jul-20,2:00:00 AM,1.80,1.94
03-Jul-20,2:30:00 AM,1.76,1.90
03-Jul-20,3:00:00 AM,1.75,1.89
03-Jul-20,3:30:00 AM,1.70,1.85
03-Jul-20,4:00:00 AM,1.77,1.92
03-Jul-20,4:30:00 AM,1.91,2.04
03-Jul-20,5:00:00 AM,2.11,2.22
03-Jul-20,5:30:00 AM,2.33,2.42
03-Jul-20,6:00:00 AM,2.71,2.78
03-Jul-20,6:30:00 AM,3.38,3.43
03-Jul-20,7:00:00 AM,3.60,3.65
03-Jul-20,7:30:00 AM,3.14,3.18
03-Jul-20,8:00:00 AM,2.62,2.66
03-Jul-20,8:30:00 AM,2.00,2.03
03-Jul-20,9:00:00 AM,1.38,1.42
03-Jul-20,9:30:00 AM,0.86,0.91
03-Jul-20,10:00:00 AM,0.44,0.52
03-Jul-20,10:30:00 AM,0.07,0.23
03-Jul-20,11:00:00 AM,-0.19,0.28
03-Jul-20,11:30:00 AM,-0.28,0.32
03-Jul-20,12:00:00 PM,-0.34,0.39
03-Jul-20,12:30:00 PM,-0.37,0.41
03-Jul-20,1:00:00 PM,-0.24,0.32
03-Jul-20,1:30:00 PM,0.08,0.27
03-Jul-20,2:00:00 PM,0.40,0.50
03-Jul-20,2:30:00 PM,0.64,0.73
03-Jul-20,3:00:00 PM,0.90,1.05
03-Jul-20,3:30:00 PM,1.22,1.38
03-Jul-20,4:00:00 PM,1.95,2.08
03-Jul-20,4:30:00 PM,2.94,3.03
03-Jul-20,5:00:00 PM,3.36,3.44
03-Jul-20,5:30:00 PM,3.77,3.81
03-Jul-20,6:00:00 PM,3.76,3.81
03-Jul-20,6:30:00 PM,3.82,3.86
03-Jul-20,7:00:00 PM,3.70,3.74
03-Jul-20,7:30:00 PM,3.66,3.71
03-Jul-20,8:00:00 PM,3.74,3.80
03-Jul-20,8:30:00 PM,3.44,3.50
03-Jul-20,9:00:00 PM,3.20,3.27
03-Jul-20,9:30:00 PM,3.15,3.23
03-Jul-20,10:00:00 PM,3.15,3.23
03-Jul-20,10:30:00 PM,3.77,3.83
03-Jul-20,11:00:00 PM,3.40,3.47
03-Jul-20,11:30:00 PM,2.84,2.93
04-Jul-20,12:00:00 AM,2.33,2.43
04-Jul-20,12:30:00 AM,2.08,2.19
04-Jul-20,1:00:00 AM,1.92,2.04
04-Jul-20,1:30:00 AM,1.80,1.93
04-Jul-20,2:00:00 AM,1.75,1.88
04-Jul-20,2:30:00 AM,1.71,1.85
04-Jul-20,3:00:00 AM,1.71,1.85
04-Jul-20,3:30:00 AM,1.71,1.86
04-Jul-20,4:00:00 AM,1.72,1.86
04-Jul-20,4:30:00 AM,1.78,1.91
04-Jul-20,5:00:00 AM,1.82,1.95
04-Jul-20,5:30:00 AM,1.97,2.08
04-Jul-20,6:00:00 AM,2.15,2.26
04-Jul-20,6:30:00 AM,2.29,2.43
04-Jul-20,7:00:00 AM,2.39,2.53
04-Jul-20,7:30:00 AM,2.10,2.23
04-Jul-20,8:00:00 AM,1.64,1.78
04-Jul-20,8:30:00 AM,1.20,1.34
04-Jul-20,9:00:00 AM,0.72,0.92
04-Jul-20,9:30:00 AM,0.35,0.59
04-Jul-20,10:00:00 AM,-0.20,0.46
04-Jul-20,10:30:00 AM,-0.52,0.65
04-Jul-20,11:00:00 AM,-0.73,0.83
04-Jul-20,11:30:00 AM,-0.81,0.89
04-Jul-20,12:00:00 PM,-0.76,0.86
04-Jul-20,12:30:00 PM,-0.81,0.90
04-Jul-20,1:00:00 PM,-0.79,0.92
04-Jul-20,1:30:00 PM,-0.57,0.76
04-Jul-20,2:00:00 PM,-0.24,0.58
04-Jul-20,2:30:00 PM,0.13,0.57
04-Jul-20,3:00:00 PM,0.59,0.87
04-Jul-20,3:30:00 PM,1.25,1.43
04-Jul-20,4:00:00 PM,2.17,2.30
