Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.06,9.14
01-Jul-20,12:30:00 AM,8.49,8.58
01-Jul-20,1:00:00 AM,8.03,8.12
01-Jul-20,1:30:00 AM,7.85,7.95
01-Jul-20,2:00:00 AM,7.53,7.64
01-Jul-20,2:30:00 AM,7.37,7.49
01-Jul-20,3:00:00 AM,7.39,7.50
01-Jul-20,3:30:00 AM,7.42,7.54
01-Jul-20,4:00:00 AM,7.47,7.57
01-Jul-20,4:30:00 AM,7.71,7.81
01-Jul-20,5:00:00 AM,8.34,8.42
01-Jul-20,5:30:00 AM,9.20,9.26
01-Jul-20,6:00:00 AM,11.09,11.11
01-Jul-20,6:30:00 AM,12.84,12.85
01-Jul-20,7:00:00 AM,14.75,14.75
01-Jul-20,7:30:00 AM,15.90,15.91
01-Jul-20,8:00:00 AM,15.46,15.46
01-Jul-20,8:30:00 AM,14.94,14.94
01-Jul-20,9:00:00 AM,14.23,14.24
01-Jul-20,9:30:00 AM,13.33,13.35
01-Jul-20,10:00:00 AM,12.81,12.82
01-Jul-20,10:30:00 AM,12.09,12.10
01-Jul-20,11:00:00 AM,11.82,11.84
01-Jul-20,11:30:00 AM,11.31,11.33
01-Jul-20,12:00:00 PM,11.34,11.35
01-Jul-20,12:30:00 PM,11.67,11.69
01-Jul-20,1:00:00 PM,12.00,12.02
01-Jul-20,1:30:00 PM,12.57,12.59
01-Jul-20,2:00:00 PM,12.34,12.36
01-Jul-20,2:30:00 PM,13.25,13.26
01-Jul-20,3:00:00 PM,13.51,13.53
01-Jul-20,3:30:00 PM,13.06,13.06
01-Jul-20,4:00:00 PM,13.43,13.44
01-Jul-20,4:30:00 PM,14.26,14.26
01-Jul-20,5:00:00 PM,15.26,15.26
01-Jul-20,5:30:00 PM,16.50,16.50
01-Jul-20,6:00:00 PM,16.60,16.61
01-Jul-20,6:30:00 PM,16.84,16.84
01-Jul-20,7:00:00 PM,16.79,16.79
01-Jul-20,7:30:00 PM,16.35,16.35
01-Jul-20,8:00:00 PM,16.28,16.28
01-Jul-20,8:30:00 PM,15.67,15.67
01-Jul-20,9:00:00 PM,14.60,14.60
01-Jul-20,9:30:00 PM,14.01,14.03
01-Jul-20,10:00:00 PM,13.10,13.12
01-Jul-20,10:30:00 PM,11.71,11.74
01-Jul-20,11:00:00 PM,10.89,10.93
01-Jul-20,11:30:00 PM,10.20,10.24
02-Jul-20,12:00:00 AM,9.43,9.49
02-Jul-20,12:30:00 AM,8.73,8.80
02-Jul-20,1:00:00 AM,8.22,8.30
02-Jul-20,1:30:00 AM,7.92,8.01
02-Jul-20,2:00:00 AM,7.73,7.83
02-Jul-20,2:30:00 AM,7.55,7.66
02-Jul-20,3:00:00 AM,7.59,7.69
02-Jul-20,3:30:00 AM,7.57,7.68
02-Jul-20,4:00:00 AM,7.56,7.66
02-Jul-20,4:30:00 AM,7.84,7.93
02-Jul-20,5:00:00 AM,8.35,8.43
02-Jul-20,5:30:00 AM,9.21,9.26
02-Jul-20,6:00:00 AM,11.17,11.19
02-Jul-20,6:30:00 AM,13.03,13.04
02-Jul-20,7:00:00 AM,14.67,14.68
02-Jul-20,7:30:00 AM,15.55,15.55
02-Jul-20,8:00:00 AM,15.38,15.38
02-Jul-20,8:30:00 AM,14.78,14.79
02-Jul-20,9:00:00 AM,14.90,14.91
02-Jul-20,9:30:00 AM,14.16,14.17
02-Jul-20,10:00:00 AM,13.17,13.18
02-Jul-20,10:30:00 AM,12.19,12.20
02-Jul-20,11:00:00 AM,12.22,12.23
02-Jul-20,11:30:00 AM,11.42,11.44
02-Jul-20,12:00:00 PM,11.46,11.49
02-Jul-20,12:30:00 PM,11.93,11.95
02-Jul-20,1:00:00 PM,11.55,11.58
02-Jul-20,1:30:00 PM,12.48,12.50
02-Jul-20,2:00:00 PM,11.83,11.86
02-Jul-20,2:30:00 PM,12.04,12.07
02-Jul-20,3:00:00 PM,12.58,12.59
02-Jul-20,3:30:00 PM,13.16,13.17
02-Jul-20,4:00:00 PM,13.50,13.51
02-Jul-20,4:30:00 PM,14.35,14.36
02-Jul-20,5:00:00 PM,15.22,15.23
02-Jul-20,5:30:00 PM,16.34,16.34
02-Jul-20,6:00:00 PM,16.45,16.45
02-Jul-20,6:30:00 PM,16.57,16.57
02-Jul-20,7:00:00 PM,16.33,16.33
02-Jul-20,7:30:00 PM,15.82,15.82
02-Jul-20,8:00:00 PM,15.47,15.47
02-Jul-20,8:30:00 PM,14.79,14.80
02-Jul-20,9:00:00 PM,13.89,13.90
02-Jul-20,9:30:00 PM,13.26,13.27
02-Jul-20,10:00:00 PM,12.80,12.82
02-Jul-20,10:30:00 PM,11.60,11.63
02-Jul-20,11:00:00 PM,10.53,10.58
02-Jul-20,11:30:00 PM,9.83,9.88
03-Jul-20,12:00:00 AM,8.99,9.06
03-Jul-20,12:30:00 AM,8.43,8.50
03-Jul-20,1:00:00 AM,8.00,8.08
03-Jul-20,1:30:00 AM,7.70,7.79
03-Jul-20,2:00:00 AM,7.54,7.65
03-Jul-20,2:30:00 AM,7.35,7.46
03-Jul-20,3:00:00 AM,7.27,7.37
03-Jul-20,3:30:00 AM,7.36,7.46
03-Jul-20,4:00:00 AM,7.48,7.57
03-Jul-20,4:30:00 AM,7.69,7.78
03-Jul-20,5:00:00 AM,8.18,8.26
03-Jul-20,5:30:00 AM,8.91,8.97
03-Jul-20,6:00:00 AM,10.67,10.70
03-Jul-20,6:30:00 AM,12.30,12.31
03-Jul-20,7:00:00 AM,13.90,13.90
03-Jul-20,7:30:00 AM,14.68,14.68
03-Jul-20,8:00:00 AM,15.09,15.09
03-Jul-20,8:30:00 AM,15.05,15.06
03-Jul-20,9:00:00 AM,14.30,14.31
03-Jul-20,9:30:00 AM,12.95,12.96
03-Jul-20,10:00:00 AM,12.06,12.06
03-Jul-20,10:30:00 AM,11.50,11.51
03-Jul-20,11:00:00 AM,11.12,11.14
03-Jul-20,11:30:00 AM,10.81,10.83
03-Jul-20,12:00:00 PM,10.59,10.61
03-Jul-20,12:30:00 PM,10.60,10.62
03-Jul-20,1:00:00 PM,11.07,11.09
03-Jul-20,1:30:00 PM,12.01,12.02
03-Jul-20,2:00:00 PM,11.69,11.71
03-Jul-20,2:30:00 PM,11.71,11.72
03-Jul-20,3:00:00 PM,12.06,12.07
03-Jul-20,3:30:00 PM,12.81,12.82
03-Jul-20,4:00:00 PM,12.95,12.95
03-Jul-20,4:30:00 PM,13.50,13.51
03-Jul-20,5:00:00 PM,14.06,14.06
03-Jul-20,5:30:00 PM,14.67,14.67
03-Jul-20,6:00:00 PM,14.49,14.49
03-Jul-20,6:30:00 PM,14.63,14.63
03-Jul-20,7:00:00 PM,14.31,14.31
03-Jul-20,7:30:00 PM,14.20,14.20
03-Jul-20,8:00:00 PM,13.99,13.99
03-Jul-20,8:30:00 PM,13.34,13.34
03-Jul-20,9:00:00 PM,12.72,12.73
03-Jul-20,9:30:00 PM,12.06,12.09
03-Jul-20,10:00:00 PM,11.84,11.87
03-Jul-20,10:30:00 PM,10.95,10.99
03-Jul-20,11:00:00 PM,10.34,10.39
03-Jul-20,11:30:00 PM,9.54,9.60
04-Jul-20,12:00:00 AM,8.91,8.98
04-Jul-20,12:30:00 AM,8.26,8.34
04-Jul-20,1:00:00 AM,7.82,7.90
04-Jul-20,1:30:00 AM,7.57,7.67
04-Jul-20,2:00:00 AM,7.41,7.51
04-Jul-20,2:30:00 AM,7.22,7.33
04-Jul-20,3:00:00 AM,7.12,7.23
04-Jul-20,3:30:00 AM,7.13,7.24
04-Jul-20,4:00:00 AM,7.24,7.34
04-Jul-20,4:30:00 AM,7.36,7.46
04-Jul-20,5:00:00 AM,7.65,7.74
04-Jul-20,5:30:00 AM,7.91,7.98
04-Jul-20,6:00:00 AM,8.52,8.58
04-Jul-20,6:30:00 AM,9.19,9.25
04-Jul-20,7:00:00 AM,10.03,10.08
04-Jul-20,7:30:00 AM,10.58,10.61
04-Jul-20,8:00:00 AM,10.95,10.97
04-Jul-20,8:30:00 AM,10.98,10.99
04-Jul-20,9:00:00 AM,11.07,11.07
04-Jul-20,9:30:00 AM,10.50,10.51
04-Jul-20,10:00:00 AM,9.85,9.86
04-Jul-20,10:30:00 AM,9.50,9.51
04-Jul-20,11:00:00 AM,9.08,9.08
04-Jul-20,11:30:00 AM,8.87,8.88
04-Jul-20,12:00:00 PM,8.62,8.62
04-Jul-20,12:30:00 PM,8.58,8.59
04-Jul-20,1:00:00 PM,8.63,8.64
04-Jul-20,1:30:00 PM,8.88,8.89
04-Jul-20,2:00:00 PM,9.34,9.35
04-Jul-20,2:30:00 PM,9.79,9.80
04-Jul-20,3:00:00 PM,10.31,10.32
04-Jul-20,3:30:00 PM,11.11,11.12
04-Jul-20,4:00:00 PM,11.79,11.80
04-Jul-20,4:30:00 PM,12.83,12.84
04-Jul-20,5:00:00 PM,13.78,13.79
04-Jul-20,5:30:00 PM,14.96,14.96
04-Jul-20,6:00:00 PM,15.21,15.21
04-Jul-20,6:30:00 PM,15.30,15.30
04-Jul-20,7:00:00 PM,15.29,15.29
04-Jul-20,7:30:00 PM,15.02,15.02
04-Jul-20,8:00:00 PM,15.06,15.07
04-Jul-20,8:30:00 PM,14.59,14.59
04-Jul-20,9:00:00 PM,13.91,13.92
04-Jul-20,9:30:00 PM,13.48,13.50
04-Jul-20,10:00:00 PM,12.87,12.89
04-Jul-20,10:30:00 PM,11.77,11.81
04-Jul-20,11:00:00 PM,11.18,11.22
04-Jul-20,11:30:00 PM,10.56,10.62
05-Jul-20,12:00:00 AM,9.79,9.86
05-Jul-20,12:30:00 AM,9.19,9.25
05-Jul-20,1:00:00 AM,8.74,8.83
05-Jul-20,1:30:00 AM,8.32,8.41
05-Jul-20,2:00:00 AM,8.09,8.19
05-Jul-20,2:30:00 AM,7.84,7.95
05-Jul-20,3:00:00 AM,7.86,7.96
05-Jul-20,3:30:00 AM,7.76,7.87
05-Jul-20,4:00:00 AM,7.86,7.97
05-Jul-20,4:30:00 AM,8.01,8.10
05-Jul-20,5:00:00 AM,8.28,8.37
05-Jul-20,5:30:00 AM,8.55,8.63
05-Jul-20,6:00:00 AM,9.14,9.21
05-Jul-20,6:30:00 AM,9.85,9.92
