Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.17,8.25
01-Jul-20,12:30:00 AM,7.49,7.59
01-Jul-20,1:00:00 AM,7.03,7.14
01-Jul-20,1:30:00 AM,6.74,6.85
01-Jul-20,2:00:00 AM,6.44,6.56
01-Jul-20,2:30:00 AM,6.12,6.25
01-Jul-20,3:00:00 AM,6.30,6.42
01-Jul-20,3:30:00 AM,6.22,6.34
01-Jul-20,4:00:00 AM,6.37,6.49
01-Jul-20,4:30:00 AM,6.83,6.93
01-Jul-20,5:00:00 AM,7.43,7.52
01-Jul-20,5:30:00 AM,8.21,8.28
01-Jul-20,6:00:00 AM,9.17,9.23
01-Jul-20,6:30:00 AM,9.86,9.94
01-Jul-20,7:00:00 AM,10.59,10.67
01-Jul-20,7:30:00 AM,10.80,10.87
01-Jul-20,8:00:00 AM,10.12,10.18
01-Jul-20,8:30:00 AM,9.04,9.08
01-Jul-20,9:00:00 AM,7.07,7.13
01-Jul-20,9:30:00 AM,5.83,5.87
01-Jul-20,10:00:00 AM,4.83,4.87
01-Jul-20,10:30:00 AM,4.02,4.05
01-Jul-20,11:00:00 AM,3.44,3.47
01-Jul-20,11:30:00 AM,3.19,3.23
01-Jul-20,12:00:00 PM,3.25,3.28
01-Jul-20,12:30:00 PM,3.41,3.45
01-Jul-20,1:00:00 PM,3.60,3.63
01-Jul-20,1:30:00 PM,6.48,6.51
01-Jul-20,2:00:00 PM,7.64,7.68
01-Jul-20,2:30:00 PM,8.63,8.68
01-Jul-20,3:00:00 PM,6.89,6.94
01-Jul-20,3:30:00 PM,8.16,8.21
01-Jul-20,4:00:00 PM,10.01,10.05
01-Jul-20,4:30:00 PM,11.72,11.76
01-Jul-20,5:00:00 PM,13.51,13.53
01-Jul-20,5:30:00 PM,14.66,14.66
01-Jul-20,6:00:00 PM,14.77,14.77
01-Jul-20,6:30:00 PM,14.69,14.70
01-Jul-20,7:00:00 PM,14.41,14.43
01-Jul-20,7:30:00 PM,14.37,14.39
01-Jul-20,8:00:00 PM,14.07,14.09
01-Jul-20,8:30:00 PM,13.24,13.26
01-Jul-20,9:00:00 PM,12.50,12.53
01-Jul-20,9:30:00 PM,11.82,11.86
01-Jul-20,10:00:00 PM,11.95,11.99
01-Jul-20,10:30:00 PM,12.70,12.74
01-Jul-20,11:00:00 PM,11.31,11.37
01-Jul-20,11:30:00 PM,9.54,9.61
02-Jul-20,12:00:00 AM,8.29,8.38
02-Jul-20,12:30:00 AM,7.62,7.72
02-Jul-20,1:00:00 AM,7.09,7.20
02-Jul-20,1:30:00 AM,6.79,6.91
02-Jul-20,2:00:00 AM,6.52,6.64
02-Jul-20,2:30:00 AM,6.51,6.63
02-Jul-20,3:00:00 AM,6.51,6.63
02-Jul-20,3:30:00 AM,6.47,6.59
02-Jul-20,4:00:00 AM,6.81,6.92
02-Jul-20,4:30:00 AM,7.08,7.18
02-Jul-20,5:00:00 AM,7.92,8.01
02-Jul-20,5:30:00 AM,8.71,8.77
02-Jul-20,6:00:00 AM,9.67,9.72
02-Jul-20,6:30:00 AM,10.69,10.76
02-Jul-20,7:00:00 AM,11.21,11.28
02-Jul-20,7:30:00 AM,10.30,10.36
02-Jul-20,8:00:00 AM,10.83,10.88
02-Jul-20,8:30:00 AM,9.77,9.81
02-Jul-20,9:00:00 AM,9.12,9.17
02-Jul-20,9:30:00 AM,8.56,8.60
02-Jul-20,10:00:00 AM,6.04,6.09
02-Jul-20,10:30:00 AM,4.15,4.19
02-Jul-20,11:00:00 AM,3.44,3.49
02-Jul-20,11:30:00 AM,4.33,4.36
02-Jul-20,12:00:00 PM,5.08,5.12
02-Jul-20,12:30:00 PM,4.64,4.68
02-Jul-20,1:00:00 PM,4.00,4.04
02-Jul-20,1:30:00 PM,4.82,4.86
02-Jul-20,2:00:00 PM,4.51,4.56
02-Jul-20,2:30:00 PM,5.86,5.90
02-Jul-20,3:00:00 PM,6.92,6.97
02-Jul-20,3:30:00 PM,8.27,8.32
02-Jul-20,4:00:00 PM,9.92,9.96
02-Jul-20,4:30:00 PM,11.76,11.79
02-Jul-20,5:00:00 PM,13.55,13.57
02-Jul-20,5:30:00 PM,14.72,14.72
02-Jul-20,6:00:00 PM,14.79,14.80
02-Jul-20,6:30:00 PM,14.93,14.94
02-Jul-20,7:00:00 PM,14.34,14.35
02-Jul-20,7:30:00 PM,14.12,14.13
02-Jul-20,8:00:00 PM,13.98,14.00
02-Jul-20,8:30:00 PM,13.38,13.40
02-Jul-20,9:00:00 PM,12.61,12.63
02-Jul-20,9:30:00 PM,11.77,11.81
02-Jul-20,10:00:00 PM,11.91,11.94
02-Jul-20,10:30:00 PM,12.79,12.83
02-Jul-20,11:00:00 PM,11.24,11.30
02-Jul-20,11:30:00 PM,9.54,9.62
03-Jul-20,12:00:00 AM,8.21,8.31
03-Jul-20,12:30:00 AM,7.57,7.67
03-Jul-20,1:00:00 AM,7.07,7.18
03-Jul-20,1:30:00 AM,6.65,6.77
03-Jul-20,2:00:00 AM,6.40,6.52
03-Jul-20,2:30:00 AM,6.41,6.53
03-Jul-20,3:00:00 AM,6.42,6.55
03-Jul-20,3:30:00 AM,6.43,6.55
03-Jul-20,4:00:00 AM,6.54,6.66
03-Jul-20,4:30:00 AM,6.89,7.00
03-Jul-20,5:00:00 AM,7.76,7.85
03-Jul-20,5:30:00 AM,8.49,8.56
03-Jul-20,6:00:00 AM,9.27,9.33
03-Jul-20,6:30:00 AM,10.30,10.38
03-Jul-20,7:00:00 AM,10.99,11.06
03-Jul-20,7:30:00 AM,10.83,10.88
03-Jul-20,8:00:00 AM,9.51,9.56
03-Jul-20,8:30:00 AM,8.28,8.32
03-Jul-20,9:00:00 AM,7.07,7.11
03-Jul-20,9:30:00 AM,6.05,6.09
03-Jul-20,10:00:00 AM,4.83,4.87
03-Jul-20,10:30:00 AM,4.06,4.10
03-Jul-20,11:00:00 AM,3.59,3.64
03-Jul-20,11:30:00 AM,3.23,3.28
03-Jul-20,12:00:00 PM,3.26,3.30
03-Jul-20,12:30:00 PM,3.31,3.33
03-Jul-20,1:00:00 PM,3.64,3.67
03-Jul-20,1:30:00 PM,4.11,4.15
03-Jul-20,2:00:00 PM,4.83,4.86
03-Jul-20,2:30:00 PM,5.70,5.74
03-Jul-20,3:00:00 PM,6.94,6.97
03-Jul-20,3:30:00 PM,8.24,8.28
03-Jul-20,4:00:00 PM,9.74,9.78
03-Jul-20,4:30:00 PM,11.36,11.39
03-Jul-20,5:00:00 PM,12.80,12.82
03-Jul-20,5:30:00 PM,13.61,13.61
03-Jul-20,6:00:00 PM,13.65,13.65
03-Jul-20,6:30:00 PM,13.55,13.56
03-Jul-20,7:00:00 PM,13.03,13.04
03-Jul-20,7:30:00 PM,12.94,12.95
03-Jul-20,8:00:00 PM,12.77,12.79
03-Jul-20,8:30:00 PM,11.97,11.99
03-Jul-20,9:00:00 PM,11.50,11.53
03-Jul-20,9:30:00 PM,11.11,11.14
03-Jul-20,10:00:00 PM,11.53,11.57
03-Jul-20,10:30:00 PM,12.35,12.38
03-Jul-20,11:00:00 PM,10.83,10.88
03-Jul-20,11:30:00 PM,9.30,9.36
04-Jul-20,12:00:00 AM,8.12,8.20
04-Jul-20,12:30:00 AM,7.46,7.54
04-Jul-20,1:00:00 AM,6.74,6.85
04-Jul-20,1:30:00 AM,6.41,6.52
04-Jul-20,2:00:00 AM,6.18,6.30
04-Jul-20,2:30:00 AM,6.22,6.34
04-Jul-20,3:00:00 AM,6.30,6.42
04-Jul-20,3:30:00 AM,6.17,6.29
04-Jul-20,4:00:00 AM,6.12,6.25
04-Jul-20,4:30:00 AM,6.42,6.53
04-Jul-20,5:00:00 AM,6.79,6.89
04-Jul-20,5:30:00 AM,7.23,7.31
04-Jul-20,6:00:00 AM,7.88,7.96
04-Jul-20,6:30:00 AM,8.60,8.72
04-Jul-20,7:00:00 AM,9.39,9.50
04-Jul-20,7:30:00 AM,9.55,9.63
04-Jul-20,8:00:00 AM,8.88,8.95
04-Jul-20,8:30:00 AM,8.06,8.12
04-Jul-20,9:00:00 AM,7.21,7.26
04-Jul-20,9:30:00 AM,5.97,6.03
04-Jul-20,10:00:00 AM,5.14,5.20
04-Jul-20,10:30:00 AM,4.34,4.40
04-Jul-20,11:00:00 AM,3.72,3.79
04-Jul-20,11:30:00 AM,3.48,3.54
04-Jul-20,12:00:00 PM,3.38,3.44
04-Jul-20,12:30:00 PM,3.28,3.35
04-Jul-20,1:00:00 PM,3.41,3.48
04-Jul-20,1:30:00 PM,4.06,4.13
04-Jul-20,2:00:00 PM,4.68,4.74
04-Jul-20,2:30:00 PM,5.59,5.66
04-Jul-20,3:00:00 PM,6.94,7.01
04-Jul-20,3:30:00 PM,8.33,8.39
04-Jul-20,4:00:00 PM,9.80,9.86
04-Jul-20,4:30:00 PM,11.69,11.74
04-Jul-20,5:00:00 PM,13.33,13.36
04-Jul-20,5:30:00 PM,14.16,14.17
04-Jul-20,6:00:00 PM,14.21,14.22
04-Jul-20,6:30:00 PM,14.38,14.39
04-Jul-20,7:00:00 PM,13.97,13.98
04-Jul-20,7:30:00 PM,14.07,14.08
04-Jul-20,8:00:00 PM,13.84,13.85
04-Jul-20,8:30:00 PM,13.14,13.16
04-Jul-20,9:00:00 PM,12.59,12.61
04-Jul-20,9:30:00 PM,12.10,12.12
04-Jul-20,10:00:00 PM,12.57,12.60
04-Jul-20,10:30:00 PM,13.44,13.47
04-Jul-20,11:00:00 PM,12.37,12.41
04-Jul-20,11:30:00 PM,10.58,10.64
05-Jul-20,12:00:00 AM,9.25,9.33
05-Jul-20,12:30:00 AM,8.51,8.58
05-Jul-20,1:00:00 AM,7.80,7.89
05-Jul-20,1:30:00 AM,7.28,7.38
05-Jul-20,2:00:00 AM,7.02,7.12
05-Jul-20,2:30:00 AM,6.98,7.08
05-Jul-20,3:00:00 AM,6.92,7.02
05-Jul-20,3:30:00 AM,6.94,7.04
05-Jul-20,4:00:00 AM,6.92,7.03
05-Jul-20,4:30:00 AM,7.07,7.16
05-Jul-20,5:00:00 AM,7.44,7.53
05-Jul-20,5:30:00 AM,7.98,8.07
05-Jul-20,6:00:00 AM,8.61,8.69
05-Jul-20,6:30:00 AM,9.56,9.66
05-Jul-20,7:00:00 AM,10.50,10.59
05-Jul-20,7:30:00 AM,10.66,10.73
05-Jul-20,8:00:00 AM,10.29,10.33
05-Jul-20,8:30:00 AM,9.52,9.56
05-Jul-20,9:00:00 AM,8.29,8.34
05-Jul-20,9:30:00 AM,7.13,7.19
05-Jul-20,10:00:00 AM,5.97,6.03
05-Jul-20,10:30:00 AM,4.88,4.96
05-Jul-20,11:00:00 AM,4.05,4.12
05-Jul-20,11:30:00 AM,3.45,3.54
05-Jul-20,12:00:00 PM,3.36,3.45
05-Jul-20,12:30:00 PM,3.36,3.44
05-Jul-20,1:00:00 PM,4.65,4.74
05-Jul-20,1:30:00 PM,4.36,4.46
05-Jul-20,2:00:00 PM,6.72,6.80
05-Jul-20,2:30:00 PM,6.74,6.82
05-Jul-20,3:00:00 PM,7.65,7.73
05-Jul-20,3:30:00 PM,9.14,9.21
05-Jul-20,4:00:00 PM,10.68,10.74
05-Jul-20,4:30:00 PM,12.70,12.75
05-Jul-20,5:00:00 PM,14.90,14.92
05-Jul-20,5:30:00 PM,16.22,16.23
05-Jul-20,6:00:00 PM,16.35,16.35
05-Jul-20,6:30:00 PM,16.38,16.38
05-Jul-20,7:00:00 PM,15.94,15.95
05-Jul-20,7:30:00 PM,15.94,15.95
05-Jul-20,8:00:00 PM,15.59,15.60
05-Jul-20,8:30:00 PM,14.67,14.69
05-Jul-20,9:00:00 PM,14.22,14.23
05-Jul-20,9:30:00 PM,13.22,13.24
05-Jul-20,10:00:00 PM,13.22,13.24
05-Jul-20,10:30:00 PM,13.70,13.73
05-Jul-20,11:00:00 PM,12.36,12.41
05-Jul-20,11:30:00 PM,10.71,10.77
06-Jul-20,12:00:00 AM,9.37,9.44
06-Jul-20,12:30:00 AM,8.58,8.67
06-Jul-20,1:00:00 AM,7.96,8.05
06-Jul-20,1:30:00 AM,7.42,7.52
06-Jul-20,2:00:00 AM,7.18,7.29
06-Jul-20,2:30:00 AM,7.04,7.14
06-Jul-20,3:00:00 AM,7.10,7.20
06-Jul-20,3:30:00 AM,7.16,7.26
06-Jul-20,4:00:00 AM,7.50,7.59
06-Jul-20,4:30:00 AM,7.70,7.79
06-Jul-20,5:00:00 AM,8.66,8.74
06-Jul-20,5:30:00 AM,9.62,9.68
06-Jul-20,6:00:00 AM,10.77,10.81
06-Jul-20,6:30:00 AM,12.05,12.10
06-Jul-20,7:00:00 AM,12.92,12.96
06-Jul-20,7:30:00 AM,12.55,12.59
06-Jul-20,8:00:00 AM,11.18,11.21
06-Jul-20,8:30:00 AM,9.81,9.84
06-Jul-20,9:00:00 AM,9.39,9.42
06-Jul-20,9:30:00 AM,8.92,8.95
06-Jul-20,10:00:00 AM,8.88,8.92
06-Jul-20,10:30:00 AM,4.85,4.89
06-Jul-20,11:00:00 AM,4.15,4.21
06-Jul-20,11:30:00 AM,3.93,3.99
06-Jul-20,12:00:00 PM,3.81,3.86
06-Jul-20,12:30:00 PM,3.39,3.46
06-Jul-20,1:00:00 PM,3.60,3.66
06-Jul-20,1:30:00 PM,4.05,4.10
06-Jul-20,2:00:00 PM,5.02,5.07
06-Jul-20,2:30:00 PM,5.90,5.96
06-Jul-20,3:00:00 PM,7.04,7.09
06-Jul-20,3:30:00 PM,8.61,8.65
06-Jul-20,4:00:00 PM,10.41,10.45
06-Jul-20,4:30:00 PM,12.48,12.51
06-Jul-20,5:00:00 PM,14.50,14.52
06-Jul-20,5:30:00 PM,16.00,16.00
06-Jul-20,6:00:00 PM,16.18,16.18
06-Jul-20,6:30:00 PM,16.23,16.23
06-Jul-20,7:00:00 PM,15.91,15.92
06-Jul-20,7:30:00 PM,15.78,15.79
06-Jul-20,8:00:00 PM,15.67,15.68
06-Jul-20,8:30:00 PM,14.85,14.86
06-Jul-20,9:00:00 PM,14.09,14.10
06-Jul-20,9:30:00 PM,13.16,13.19
06-Jul-20,10:00:00 PM,12.98,13.01
06-Jul-20,10:30:00 PM,13.57,13.60
06-Jul-20,11:00:00 PM,12.04,12.09
06-Jul-20,11:30:00 PM,10.32,10.38
07-Jul-20,12:00:00 AM,9.09,9.17
07-Jul-20,12:30:00 AM,8.27,8.35
07-Jul-20,1:00:00 AM,7.73,7.82
07-Jul-20,1:30:00 AM,7.24,7.34
07-Jul-20,2:00:00 AM,7.03,7.13
07-Jul-20,2:30:00 AM,6.96,7.06
07-Jul-20,3:00:00 AM,7.03,7.13
07-Jul-20,3:30:00 AM,7.01,7.11
07-Jul-20,4:00:00 AM,7.30,7.40
07-Jul-20,4:30:00 AM,7.68,7.77
07-Jul-20,5:00:00 AM,8.67,8.74
07-Jul-20,5:30:00 AM,9.59,9.65
07-Jul-20,6:00:00 AM,10.81,10.86
07-Jul-20,6:30:00 AM,12.15,12.20
07-Jul-20,7:00:00 AM,13.01,13.05
07-Jul-20,7:30:00 AM,12.50,12.54
07-Jul-20,8:00:00 AM,11.14,11.17
07-Jul-20,8:30:00 AM,9.63,9.66
07-Jul-20,9:00:00 AM,8.03,8.07
07-Jul-20,9:30:00 AM,6.50,6.55
07-Jul-20,10:00:00 AM,5.41,5.45
07-Jul-20,10:30:00 AM,4.29,4.34
07-Jul-20,11:00:00 AM,3.53,3.59
07-Jul-20,11:30:00 AM,3.18,3.25
07-Jul-20,12:00:00 PM,3.15,3.22
07-Jul-20,12:30:00 PM,3.34,3.40
07-Jul-20,1:00:00 PM,3.43,3.49
07-Jul-20,1:30:00 PM,3.89,3.94
