Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,21.40,21.40
01-Jul-20,12:30:00 AM,20.80,20.81
01-Jul-20,1:00:00 AM,20.35,20.35
01-Jul-20,1:30:00 AM,20.26,20.26
01-Jul-20,2:00:00 AM,20.10,20.10
01-Jul-20,2:30:00 AM,19.91,19.91
01-Jul-20,3:00:00 AM,19.93,19.93
01-Jul-20,3:30:00 AM,19.72,19.72
01-Jul-20,4:00:00 AM,19.95,19.96
01-Jul-20,4:30:00 AM,20.25,20.26
01-Jul-20,5:00:00 AM,21.27,21.27
01-Jul-20,5:30:00 AM,22.46,22.47
01-Jul-20,6:00:00 AM,25.01,25.04
01-Jul-20,6:30:00 AM,25.60,25.63
01-Jul-20,7:00:00 AM,28.50,28.55
01-Jul-20,7:30:00 AM,29.83,29.91
01-Jul-20,8:00:00 AM,29.63,29.70
01-Jul-20,8:30:00 AM,29.33,29.42
01-Jul-20,9:00:00 AM,29.28,29.39
01-Jul-20,9:30:00 AM,28.79,28.89
01-Jul-20,10:00:00 AM,28.28,28.38
01-Jul-20,10:30:00 AM,27.95,28.07
01-Jul-20,11:00:00 AM,28.09,28.24
01-Jul-20,11:30:00 AM,27.84,28.00
01-Jul-20,12:00:00 PM,28.40,28.61
01-Jul-20,12:30:00 PM,28.43,28.62
01-Jul-20,1:00:00 PM,28.34,28.55
01-Jul-20,1:30:00 PM,28.86,29.04
01-Jul-20,2:00:00 PM,28.43,28.60
01-Jul-20,2:30:00 PM,28.86,29.03
01-Jul-20,3:00:00 PM,28.67,28.82
01-Jul-20,3:30:00 PM,28.45,28.61
01-Jul-20,4:00:00 PM,28.62,28.77
01-Jul-20,4:30:00 PM,28.87,28.98
01-Jul-20,5:00:00 PM,29.57,29.68
01-Jul-20,5:30:00 PM,30.35,30.44
01-Jul-20,6:00:00 PM,30.21,30.28
01-Jul-20,6:30:00 PM,30.21,30.27
01-Jul-20,7:00:00 PM,29.63,29.68
01-Jul-20,7:30:00 PM,29.01,29.05
01-Jul-20,8:00:00 PM,28.34,28.37
01-Jul-20,8:30:00 PM,27.29,27.31
01-Jul-20,9:00:00 PM,26.47,26.48
01-Jul-20,9:30:00 PM,25.58,25.59
01-Jul-20,10:00:00 PM,24.58,24.58
01-Jul-20,10:30:00 PM,23.66,23.66
01-Jul-20,11:00:00 PM,22.67,22.68
01-Jul-20,11:30:00 PM,21.99,21.99
02-Jul-20,12:00:00 AM,21.43,21.44
02-Jul-20,12:30:00 AM,20.74,20.74
02-Jul-20,1:00:00 AM,20.23,20.24
02-Jul-20,1:30:00 AM,20.05,20.05
02-Jul-20,2:00:00 AM,19.95,19.95
02-Jul-20,2:30:00 AM,19.69,19.69
