Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.26,4.36
01-Jul-20,12:30:00 AM,4.14,4.27
01-Jul-20,1:00:00 AM,3.91,4.04
01-Jul-20,1:30:00 AM,3.84,3.96
01-Jul-20,2:00:00 AM,3.80,3.93
01-Jul-20,2:30:00 AM,3.76,3.89
01-Jul-20,3:00:00 AM,3.77,3.90
01-Jul-20,3:30:00 AM,3.79,3.93
01-Jul-20,4:00:00 AM,3.89,4.02
01-Jul-20,4:30:00 AM,4.07,4.17
01-Jul-20,5:00:00 AM,4.32,4.42
01-Jul-20,5:30:00 AM,4.54,4.64
01-Jul-20,6:00:00 AM,4.99,5.07
01-Jul-20,6:30:00 AM,5.87,5.92
01-Jul-20,7:00:00 AM,6.31,6.34
01-Jul-20,7:30:00 AM,6.26,6.27
01-Jul-20,8:00:00 AM,5.83,5.85
01-Jul-20,8:30:00 AM,5.43,5.44
01-Jul-20,9:00:00 AM,4.79,4.80
01-Jul-20,9:30:00 AM,4.05,4.05
01-Jul-20,10:00:00 AM,3.31,3.31
01-Jul-20,10:30:00 AM,2.78,2.79
01-Jul-20,11:00:00 AM,2.48,2.48
01-Jul-20,11:30:00 AM,2.77,2.77
01-Jul-20,12:00:00 PM,2.91,2.91
01-Jul-20,12:30:00 PM,2.70,2.71
01-Jul-20,1:00:00 PM,2.69,2.72
01-Jul-20,1:30:00 PM,3.51,3.52
01-Jul-20,2:00:00 PM,3.63,3.64
01-Jul-20,2:30:00 PM,4.26,4.27
01-Jul-20,3:00:00 PM,4.48,4.48
01-Jul-20,3:30:00 PM,4.99,4.99
01-Jul-20,4:00:00 PM,5.03,5.03
01-Jul-20,4:30:00 PM,5.06,5.14
01-Jul-20,5:00:00 PM,5.35,5.41
01-Jul-20,5:30:00 PM,5.30,5.35
01-Jul-20,6:00:00 PM,5.49,5.56
01-Jul-20,6:30:00 PM,5.33,5.40
01-Jul-20,7:00:00 PM,5.25,5.32
01-Jul-20,7:30:00 PM,5.12,5.21
01-Jul-20,8:00:00 PM,5.07,5.15
01-Jul-20,8:30:00 PM,4.96,5.05
01-Jul-20,9:00:00 PM,4.88,4.97
01-Jul-20,9:30:00 PM,4.64,4.74
01-Jul-20,10:00:00 PM,4.57,4.67
01-Jul-20,10:30:00 PM,4.40,4.51
01-Jul-20,11:00:00 PM,4.07,4.20
01-Jul-20,11:30:00 PM,3.79,3.94
02-Jul-20,12:00:00 AM,3.62,3.77
02-Jul-20,12:30:00 AM,3.44,3.59
02-Jul-20,1:00:00 AM,3.36,3.51
02-Jul-20,1:30:00 AM,3.36,3.52
02-Jul-20,2:00:00 AM,3.30,3.46
02-Jul-20,2:30:00 AM,3.42,3.57
02-Jul-20,3:00:00 AM,3.43,3.57
02-Jul-20,3:30:00 AM,3.49,3.62
02-Jul-20,4:00:00 AM,3.60,3.74
02-Jul-20,4:30:00 AM,3.88,4.01
02-Jul-20,5:00:00 AM,4.28,4.39
02-Jul-20,5:30:00 AM,4.70,4.80
02-Jul-20,6:00:00 AM,5.20,5.27
02-Jul-20,6:30:00 AM,5.96,6.02
02-Jul-20,7:00:00 AM,6.08,6.13
02-Jul-20,7:30:00 AM,5.87,5.90
02-Jul-20,8:00:00 AM,5.59,5.61
02-Jul-20,8:30:00 AM,5.08,5.10
02-Jul-20,9:00:00 AM,4.52,4.53
02-Jul-20,9:30:00 AM,3.70,3.72
02-Jul-20,10:00:00 AM,3.77,3.78
02-Jul-20,10:30:00 AM,3.19,3.20
02-Jul-20,11:00:00 AM,2.61,2.62
02-Jul-20,11:30:00 AM,2.32,2.34
02-Jul-20,12:00:00 PM,2.51,2.52
02-Jul-20,12:30:00 PM,2.88,2.89
02-Jul-20,1:00:00 PM,3.04,3.05
02-Jul-20,1:30:00 PM,2.97,2.97
02-Jul-20,2:00:00 PM,3.53,3.54
02-Jul-20,2:30:00 PM,3.74,3.75
02-Jul-20,3:00:00 PM,3.74,3.75
02-Jul-20,3:30:00 PM,4.44,4.47
02-Jul-20,4:00:00 PM,4.99,4.99
02-Jul-20,4:30:00 PM,5.12,5.15
02-Jul-20,5:00:00 PM,5.40,5.45
02-Jul-20,5:30:00 PM,5.84,5.88
02-Jul-20,6:00:00 PM,5.71,5.77
02-Jul-20,6:30:00 PM,5.70,5.76
02-Jul-20,7:00:00 PM,5.60,5.66
02-Jul-20,7:30:00 PM,5.51,5.58
02-Jul-20,8:00:00 PM,5.56,5.62
02-Jul-20,8:30:00 PM,5.54,5.61
02-Jul-20,9:00:00 PM,5.34,5.42
02-Jul-20,9:30:00 PM,5.16,5.24
02-Jul-20,10:00:00 PM,5.05,5.15
02-Jul-20,10:30:00 PM,4.86,4.97
02-Jul-20,11:00:00 PM,4.48,4.59
02-Jul-20,11:30:00 PM,4.08,4.20
03-Jul-20,12:00:00 AM,3.89,4.03
03-Jul-20,12:30:00 AM,3.82,3.95
03-Jul-20,1:00:00 AM,3.79,3.92
03-Jul-20,1:30:00 AM,3.67,3.81
03-Jul-20,2:00:00 AM,3.66,3.79
03-Jul-20,2:30:00 AM,3.64,3.79
03-Jul-20,3:00:00 AM,3.62,3.76
03-Jul-20,3:30:00 AM,3.60,3.75
03-Jul-20,4:00:00 AM,3.69,3.82
03-Jul-20,4:30:00 AM,3.94,4.06
03-Jul-20,5:00:00 AM,4.27,4.38
03-Jul-20,5:30:00 AM,4.67,4.76
03-Jul-20,6:00:00 AM,5.10,5.17
03-Jul-20,6:30:00 AM,5.69,5.74
03-Jul-20,7:00:00 AM,6.16,6.20
03-Jul-20,7:30:00 AM,5.80,5.85
03-Jul-20,8:00:00 AM,5.17,5.21
03-Jul-20,8:30:00 AM,4.62,4.66
03-Jul-20,9:00:00 AM,4.01,4.04
03-Jul-20,9:30:00 AM,3.27,3.32
03-Jul-20,10:00:00 AM,2.91,2.93
03-Jul-20,10:30:00 AM,2.14,2.19
03-Jul-20,11:00:00 AM,1.72,1.78
03-Jul-20,11:30:00 AM,2.18,2.22
