Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,14.00,14.02
01-Jul-20,12:30:00 AM,13.20,13.22
01-Jul-20,1:00:00 AM,12.47,12.50
01-Jul-20,1:30:00 AM,12.26,12.28
01-Jul-20,2:00:00 AM,12.24,12.25
01-Jul-20,2:30:00 AM,11.94,11.95
01-Jul-20,3:00:00 AM,12.07,12.10
01-Jul-20,3:30:00 AM,12.17,12.19
01-Jul-20,4:00:00 AM,12.33,12.35
01-Jul-20,4:30:00 AM,12.84,12.86
01-Jul-20,5:00:00 AM,14.05,14.08
01-Jul-20,5:30:00 AM,15.01,15.04
01-Jul-20,6:00:00 AM,16.08,16.13
01-Jul-20,6:30:00 AM,17.28,17.31
01-Jul-20,7:00:00 AM,18.59,18.66
01-Jul-20,7:30:00 AM,19.80,19.91
01-Jul-20,8:00:00 AM,19.57,19.71
01-Jul-20,8:30:00 AM,18.92,19.09
01-Jul-20,9:00:00 AM,17.91,18.14
01-Jul-20,9:30:00 AM,16.48,16.71
01-Jul-20,10:00:00 AM,15.30,15.55
01-Jul-20,10:30:00 AM,14.42,14.70
01-Jul-20,11:00:00 AM,13.84,14.16
01-Jul-20,11:30:00 AM,13.41,13.73
01-Jul-20,12:00:00 PM,13.42,13.74
01-Jul-20,12:30:00 PM,13.94,14.32
01-Jul-20,1:00:00 PM,14.98,15.30
01-Jul-20,1:30:00 PM,15.89,16.20
01-Jul-20,2:00:00 PM,17.11,17.37
01-Jul-20,2:30:00 PM,18.16,18.37
01-Jul-20,3:00:00 PM,17.99,18.16
01-Jul-20,3:30:00 PM,18.17,18.35
01-Jul-20,4:00:00 PM,18.79,18.94
01-Jul-20,4:30:00 PM,19.57,19.66
01-Jul-20,5:00:00 PM,20.27,20.34
01-Jul-20,5:30:00 PM,20.68,20.74
01-Jul-20,6:00:00 PM,20.09,20.15
01-Jul-20,6:30:00 PM,20.30,20.36
01-Jul-20,7:00:00 PM,20.25,20.31
01-Jul-20,7:30:00 PM,20.85,20.89
01-Jul-20,8:00:00 PM,21.09,21.11
01-Jul-20,8:30:00 PM,21.00,21.03
01-Jul-20,9:00:00 PM,19.78,19.82
01-Jul-20,9:30:00 PM,18.57,18.61
01-Jul-20,10:00:00 PM,17.20,17.24
01-Jul-20,10:30:00 PM,16.97,17.00
01-Jul-20,11:00:00 PM,16.47,16.49
01-Jul-20,11:30:00 PM,15.43,15.45
02-Jul-20,12:00:00 AM,14.42,14.45
02-Jul-20,12:30:00 AM,13.82,13.84
02-Jul-20,1:00:00 AM,13.15,13.18
02-Jul-20,1:30:00 AM,12.74,12.77
02-Jul-20,2:00:00 AM,12.47,12.49
02-Jul-20,2:30:00 AM,12.36,12.38
02-Jul-20,3:00:00 AM,12.48,12.50
02-Jul-20,3:30:00 AM,12.55,12.57
02-Jul-20,4:00:00 AM,12.65,12.67
02-Jul-20,4:30:00 AM,13.13,13.15
02-Jul-20,5:00:00 AM,14.03,14.05
02-Jul-20,5:30:00 AM,15.05,15.08
02-Jul-20,6:00:00 AM,16.71,16.77
02-Jul-20,6:30:00 AM,17.84,17.88
02-Jul-20,7:00:00 AM,18.52,18.58
02-Jul-20,7:30:00 AM,18.59,18.67
02-Jul-20,8:00:00 AM,19.74,19.84
02-Jul-20,8:30:00 AM,19.17,19.29
02-Jul-20,9:00:00 AM,19.21,19.38
02-Jul-20,9:30:00 AM,17.66,17.84
