Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.33,7.35
01-Jul-20,12:30:00 AM,6.62,6.64
01-Jul-20,1:00:00 AM,6.22,6.26
01-Jul-20,1:30:00 AM,5.84,5.88
01-Jul-20,2:00:00 AM,5.68,5.74
01-Jul-20,2:30:00 AM,5.66,5.72
01-Jul-20,3:00:00 AM,5.63,5.67
01-Jul-20,3:30:00 AM,5.64,5.70
01-Jul-20,4:00:00 AM,5.86,5.91
01-Jul-20,4:30:00 AM,6.27,6.31
01-Jul-20,5:00:00 AM,7.40,7.41
01-Jul-20,5:30:00 AM,8.10,8.10
01-Jul-20,6:00:00 AM,9.20,9.20
01-Jul-20,6:30:00 AM,10.44,10.44
01-Jul-20,7:00:00 AM,11.41,11.41
01-Jul-20,7:30:00 AM,11.26,11.27
01-Jul-20,8:00:00 AM,10.83,10.84
01-Jul-20,8:30:00 AM,8.82,8.83
01-Jul-20,9:00:00 AM,8.38,8.39
01-Jul-20,9:30:00 AM,6.56,6.56
01-Jul-20,10:00:00 AM,5.58,5.58
01-Jul-20,10:30:00 AM,4.82,4.82
01-Jul-20,11:00:00 AM,4.50,4.50
01-Jul-20,11:30:00 AM,3.98,3.99
01-Jul-20,12:00:00 PM,3.75,3.75
01-Jul-20,12:30:00 PM,3.89,3.90
01-Jul-20,1:00:00 PM,4.31,4.31
01-Jul-20,1:30:00 PM,4.72,4.73
01-Jul-20,2:00:00 PM,5.31,5.31
01-Jul-20,2:30:00 PM,6.33,6.33
01-Jul-20,3:00:00 PM,8.54,8.55
01-Jul-20,3:30:00 PM,8.88,8.88
01-Jul-20,4:00:00 PM,9.48,9.48
01-Jul-20,4:30:00 PM,10.94,10.94
01-Jul-20,5:00:00 PM,12.38,12.39
01-Jul-20,5:30:00 PM,13.40,13.43
01-Jul-20,6:00:00 PM,13.58,13.61
01-Jul-20,6:30:00 PM,13.88,13.89
01-Jul-20,7:00:00 PM,13.73,13.74
01-Jul-20,7:30:00 PM,13.35,13.36
01-Jul-20,8:00:00 PM,13.46,13.46
01-Jul-20,8:30:00 PM,12.46,12.46
01-Jul-20,9:00:00 PM,11.69,11.69
01-Jul-20,9:30:00 PM,11.32,11.32
