Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,13.08,13.08
01-Jul-20,12:30:00 AM,11.88,11.92
01-Jul-20,1:00:00 AM,11.10,11.10
01-Jul-20,1:30:00 AM,10.58,10.58
01-Jul-20,2:00:00 AM,10.32,10.32
01-Jul-20,2:30:00 AM,10.11,10.12
01-Jul-20,3:00:00 AM,10.26,10.33
01-Jul-20,3:30:00 AM,10.46,10.47
01-Jul-20,4:00:00 AM,10.68,10.70
01-Jul-20,4:30:00 AM,10.83,10.84
01-Jul-20,5:00:00 AM,11.95,11.95
01-Jul-20,5:30:00 AM,13.69,13.70
01-Jul-20,6:00:00 AM,15.48,15.50
01-Jul-20,6:30:00 AM,16.76,16.77
01-Jul-20,7:00:00 AM,17.65,17.67
01-Jul-20,7:30:00 AM,16.77,16.77
01-Jul-20,8:00:00 AM,16.15,16.20
01-Jul-20,8:30:00 AM,14.48,14.54
01-Jul-20,9:00:00 AM,13.10,13.13
01-Jul-20,9:30:00 AM,12.11,12.18
01-Jul-20,10:00:00 AM,10.90,10.97
01-Jul-20,10:30:00 AM,9.93,9.99
01-Jul-20,11:00:00 AM,9.33,9.45
01-Jul-20,11:30:00 AM,10.62,10.77
01-Jul-20,12:00:00 PM,11.32,11.36
01-Jul-20,12:30:00 PM,9.87,9.96
01-Jul-20,1:00:00 PM,9.22,9.29
01-Jul-20,1:30:00 PM,10.45,10.50
01-Jul-20,2:00:00 PM,13.93,14.02
01-Jul-20,2:30:00 PM,14.72,14.73
01-Jul-20,3:00:00 PM,14.38,14.47
01-Jul-20,3:30:00 PM,14.99,15.02
01-Jul-20,4:00:00 PM,15.93,15.95
01-Jul-20,4:30:00 PM,17.86,17.88
01-Jul-20,5:00:00 PM,19.77,19.87
01-Jul-20,5:30:00 PM,20.71,20.86
01-Jul-20,6:00:00 PM,21.03,21.10
01-Jul-20,6:30:00 PM,21.56,21.64
01-Jul-20,7:00:00 PM,21.41,21.49
01-Jul-20,7:30:00 PM,21.36,21.39
01-Jul-20,8:00:00 PM,21.40,21.43
01-Jul-20,8:30:00 PM,20.33,20.37
01-Jul-20,9:00:00 PM,19.26,19.27
01-Jul-20,9:30:00 PM,18.72,18.73
01-Jul-20,10:00:00 PM,18.36,18.38
01-Jul-20,10:30:00 PM,17.01,17.01
01-Jul-20,11:00:00 PM,15.77,15.79
01-Jul-20,11:30:00 PM,15.11,15.11
02-Jul-20,12:00:00 AM,13.36,13.37
02-Jul-20,12:30:00 AM,11.87,11.88
