Location,Latitude,Longitude,,,,,
Aberdeen 66_11kV FY2021.csv,-32.16282357,150.8932994,-27.57808033,153.0390369,,138,202
Adamstown 132_11kV FY2021.csv,-32.93840909,151.7299452,-27.35069891,152.9668968,,,
Argenton 132_11kV FY2021.csv,-32.94011708,151.6264912,-26.67265792,153.0941046,,,
Arncliffe 33_11kV FY2021.csv,,,-27.59896962,153.0312798,,,
Auburn 33_11kV FY2021.csv,-33.8442942,151.0424502,-26.35744411,152.7026004,,,
Avoca 66_11kV FY2021.csv,-33.45741622,151.4134745,-27.64018968,152.6875495,,,
Avondale 33_11kV FY2021.csv,-33.07208186,151.4749114,-27.46504103,153.0280327,,,
Baerami 33_11kV FY2021.csv,,,-27.51086201,153.0314222,,,
Balgowlah North 132_11kV FY2021.csv,,,-27.39638207,152.9616753,,,
Bankstown 132_11kV FY2021.csv,-33.93765958,151.0390076,-27.55751725,153.0084287,,,
Bass Hill 33_11kV FY2021.csv,-33.9125662,151.0044121,-27.94549878,153.3681313,,,
Beacon Hill 33_11kV FY2021.csv,,,-27.44609254,152.9924916,,,
Belmore Park 132_11kV FY2021.csv,-33.8801768,151.2074311,-27.46297799,153.026122,,,
Belrose 33_11kV FY2021.csv,-33.72610787,151.2086481,-27.32850374,153.0155219,,,
Berkeley Vale 132_11kV FY2021.csv,-33.32940313,151.4209237,0,0,,,
Berowra 132_11kV FY2021.csv,-33.63142819,151.1461596,-27.98323158,153.0004214,,,
Blackwattle Bay 33_5kV FY2021.csv,-33.87060072,151.1934089,-27.71286912,153.1886839,,,
Blakehurst 33_11kV FY2021.csv,-33.97701503,151.1150059,-27.72484807,153.2083131,,,
Botany 33_11kV FY2021.csv,-33.9476209,151.204423,-26.85369602,152.9277682,,,
Brandy Hill 132_11kV FY2021.csv,-32.66996265,151.7036791,-27.53583581,153.1146956,,,
Branxton 66_11kV FY2021.csv,-32.65972433,151.3446045,-27.69875339,153.1565536,,,
Broadmeadow 33_11kV FY2021.csv,-32.91290066,151.7319726,-27.50853608,153.2210057,,,
Broadmeadow 132_11kV FY2021.csv,-32.91871469,151.7317516,-26.74979933,153.1138341,,,
Brookvale 33_11kV FY2021.csv,-33.76235723,151.2741769,-26.4078543,152.8623835,,,
Burwood 132_11kV FY2021.csv,-33.86718007,151.0982116,-28.00443923,152.6768732,,,
Campbell St 132_11kV FY2021.csv,-33.87998254,151.2114751,-27.61716942,152.7891369,,,
Camperdown 33_5kV FY2021.csv,-33.88590669,151.1775317,-27.32589535,152.9709674,,,
